;ano;retention;regiao_saude
0;2014-01;0.4444444444444444;12002
1;2015-01;0.5666666666666667;12002
2;2016-01;0.6125;12002
3;2017-01;0.6125;12002
4;2018-01;0.6900000000000001;12002
5;2019-01;0.6900000000000001;12002
6;2020-01;0.9375;12002
7;2021-01;0.8833333333333332;12002
8;2022-01;0.8433333333333334;12002
9;2023-01;0.7433333333333334;12002
10;2024-01;0.7897619047619047;12002
0;2014-01;0.9333333333333332;27007
1;2015-01;0.7999999999999999;27007
2;2016-01;0.85;27007
3;2017-01;0.95;27007
4;2018-01;0.96;27007
5;2019-01;1.0;27007
6;2020-01;1.0;27007
7;2021-01;0.95;27007
8;2022-01;0.95;27007
9;2023-01;0.95;27007
10;2024-01;0.8833333333333334;27007
0;2014-01;0.8380952380952381;27001
1;2015-01;0.8333333333333334;27001
2;2016-01;0.8969696969696969;27001
3;2017-01;0.8334776334776335;27001
4;2018-01;0.8264069264069264;27001
5;2019-01;0.7875180375180375;27001
6;2020-01;0.8266788766788767;27001
7;2021-01;0.8827350427350428;27001
8;2022-01;0.8494017094017094;27001
9;2023-01;0.7949572649572649;27001
10;2024-01;0.7970345596432553;27001
0;2014-01;1.0;27008
1;2015-01;1.0;27008
2;2016-01;1.0;27008
3;2017-01;1.0;27008
4;2018-01;1.0;27008
5;2019-01;1.0;27008
6;2020-01;1.0;27008
7;2021-01;1.0;27008
8;2022-01;1.0;27008
9;2023-01;0.9;27008
10;2024-01;0.9;27008
0;2014-01;0.6666666666666666;27009
1;2015-01;0.6666666666666666;27009
2;2016-01;0.6666666666666666;27009
3;2017-01;0.6666666666666666;27009
4;2018-01;0.6666666666666666;27009
5;2019-01;0.6666666666666666;27009
6;2020-01;0.3333333333333333;27009
7;2021-01;0.6666666666666666;27009
8;2022-01;0.6666666666666666;27009
9;2023-01;0.6666666666666666;27009
10;2024-01;0.7777777777777778;27009
0;2014-01;1.0;13003
1;2015-01;0.7777777777777777;13003
2;2016-01;0.8333333333333333;13003
3;2017-01;1.0;13003
4;2018-01;1.0;13003
5;2019-01;0.75;13003
6;2020-01;0.8333333333333334;13003
7;2021-01;0.875;13003
8;2022-01;0.8333333333333334;13003
9;2023-01;0.6964285714285714;13003
10;2024-01;0.6607142857142857;13003
0;2014-01;0.6519480519480519;13001
1;2015-01;0.699134199134199;13001
2;2016-01;0.6553030303030303;13001
3;2017-01;0.6619047619047619;13001
4;2018-01;0.7904761904761906;13001
5;2019-01;0.6896825396825397;13001
6;2020-01;0.7405483405483405;13001
7;2021-01;0.747041847041847;13001
8;2022-01;0.7494949494949494;13001
9;2023-01;0.7409479409479409;13001
10;2024-01;0.8463966588966588;13001
0;2014-01;0.3538961038961039;23004
1;2015-01;0.7142857142857143;23004
2;2016-01;1.0;23004
3;2017-01;1.0;23004
4;2018-01;1.0;23004
5;2019-01;1.0;23004
6;2020-01;1.0;23004
7;2021-01;1.0;23004
8;2022-01;1.0;23004
9;2023-01;1.0;23004
10;2024-01;0.875;23004
0;2014-01;0.5733333333333334;23002
1;2015-01;0.6466666666666667;23002
2;2016-01;0.4666666666666666;23002
3;2017-01;0.6;23002
4;2018-01;0.4666666666666666;23002
5;2019-01;0.5888888888888889;23002
6;2020-01;0.5888888888888889;23002
7;2021-01;0.525;23002
8;2022-01;0.7083333333333333;23002
9;2023-01;0.75;23002
10;2024-01;0.6904761904761904;23002
0;2014-01;0.9409230769230769;23001
1;2015-01;0.9283076923076923;23001
2;2016-01;0.9654001292824823;23001
3;2017-01;0.9657078215901744;23001
4;2018-01;0.97484243697479;23001
5;2019-01;0.9720213085234093;23001
6;2020-01;0.9508145649564174;23001
7;2021-01;0.9593518929310854;23001
8;2022-01;0.9554304227843721;23001
9;2023-01;0.961680422784372;23001
10;2024-01;0.9424004760204585;23001
0;2014-01;0.2083760683760684;23013
1;2015-01;0.2511111111111111;23013
2;2016-01;0.46875;23013
3;2017-01;0.625;23013
4;2018-01;0.75;23013
5;2019-01;0.9166666666666666;23013
6;2020-01;0.5535714285714286;23013
7;2021-01;0.3053571428571429;23013
8;2022-01;0.5375;23013
9;2023-01;0.65;23013
10;2024-01;0.4458333333333333;23013
0;2014-01;0.7004761904761905;23021
1;2015-01;0.7671428571428571;23021
2;2016-01;0.9099999999999999;23021
3;2017-01;0.9199999999999999;23021
4;2018-01;0.96;23021
5;2019-01;0.76;23021
6;2020-01;0.8400000000000001;23021
7;2021-01;0.8400000000000001;23021
8;2022-01;0.9777777777777779;23021
9;2023-01;0.9555555555555555;23021
10;2024-01;0.9666666666666666;23021
0;2014-01;0.5;23009
1;2015-01;0.625;23009
2;2016-01;0.6666666666666666;23009
3;2017-01;0.5;23009
4;2018-01;0.75;23009
5;2019-01;0.8888888888888888;23009
6;2020-01;0.9166666666666666;23009
7;2021-01;0.9;23009
8;2022-01;0.625;23009
9;2023-01;0.5625;23009
10;2024-01;0.5208333333333333;23009
0;2014-01;0.4642857142857143;23022
1;2015-01;0.75;23022
2;2016-01;0.7916666666666666;23022
3;2017-01;0.7916666666666666;23022
4;2018-01;0.6666666666666666;23022
5;2019-01;0.6666666666666666;23022
6;2020-01;0.5666666666666667;23022
7;2021-01;0.8;23022
8;2022-01;0.7333333333333334;23022
9;2023-01;0.7555555555555555;23022
10;2024-01;0.7777777777777777;23022
0;2014-01;0.7463235294117647;23011
1;2015-01;0.7970588235294118;23011
2;2016-01;0.95;23011
3;2017-01;1.0;23011
4;2018-01;0.95;23011
5;2019-01;0.95;23011
6;2020-01;0.8833333333333332;23011
7;2021-01;0.8333333333333333;23011
8;2022-01;0.8047619047619048;23011
9;2023-01;0.8547619047619047;23011
10;2024-01;0.7309523809523809;23011
0;2014-01;0.9502439024390243;32002
1;2015-01;0.9264335664335664;32002
2;2016-01;0.8537062937062938;32002
3;2017-01;0.9082517482517483;32002
4;2018-01;0.9482517482517483;32002
5;2019-01;0.8966167166167166;32002
6;2020-01;0.9063347763347764;32002
7;2021-01;0.8712698412698412;32002
8;2022-01;0.844949494949495;32002
9;2023-01;0.8906204906204905;32002
10;2024-01;0.8638805638805639;32002
0;2014-01;0.4827272727272727;32004
1;2015-01;0.5700000000000001;32004
2;2016-01;0.71;32004
3;2017-01;0.9;32004
4;2018-01;0.8800000000000001;32004
5;2019-01;0.86;32004
6;2020-01;0.86;32004
7;2021-01;0.86;32004
8;2022-01;0.82;32004
9;2023-01;0.875;32004
10;2024-01;1.0;32004
0;2014-01;0.5052061973114604;32005
1;2015-01;0.5019480519480519;32005
2;2016-01;0.4131578947368421;32005
3;2017-01;0.4236842105263158;32005
4;2018-01;0.28775062656641603;32005
5;2019-01;0.40520050125313284;32005
6;2020-01;0.43656015037593987;32005
7;2021-01;0.6339285714285714;32005
8;2022-01;0.4869047619047619;32005
9;2023-01;0.5661904761904762;32005
10;2024-01;0.6566666666666666;32005
0;2014-01;1.0;21011
1;2015-01;1.0;21011
2;2016-01;1.0;21011
3;2017-01;1.0;21011
4;2018-01;1.0;21011
5;2019-01;1.0;21011
6;2020-01;0.75;21011
7;2021-01;0.8333333333333334;21011
8;2022-01;0.6;21011
9;2023-01;0.6;21011
10;2024-01;0.725;21011
0;2014-01;0.8333333333333334;21007
1;2015-01;0.8125;21007
2;2016-01;0.8333333333333334;21007
3;2017-01;0.8125;21007
4;2018-01;0.8571428571428571;21007
5;2019-01;0.8214285714285714;21007
6;2020-01;0.8214285714285714;21007
7;2021-01;1.0;21007
8;2022-01;0.8333333333333334;21007
9;2023-01;0.7777777777777777;21007
10;2024-01;0.7916666666666666;21007
0;2014-01;0.7366666666666667;21016
1;2015-01;0.7866666666666667;21016
2;2016-01;0.72;21016
3;2017-01;0.8;21016
4;2018-01;0.9333333333333333;21016
5;2019-01;0.9714285714285713;21016
6;2020-01;0.9714285714285713;21016
7;2021-01;1.0;21016
8;2022-01;0.9;21016
9;2023-01;0.8894736842105264;21016
10;2024-01;0.8349282296650717;21016
0;2014-01;0.8019192240276393;31016
1;2015-01;0.7934829931972789;31016
2;2016-01;0.7483529411764706;31016
3;2017-01;0.8041900093370682;31016
4;2018-01;0.8377217553688142;31016
5;2019-01;0.8369518876733084;31016
6;2020-01;0.8558125482454475;31016
7;2021-01;0.8589333293050807;31016
