;ano;retention;regiao_saude
0;2014-01;0.5562770562770563;27010
1;2015-01;0.5928571428571429;27010
2;2016-01;0.5147186147186147;27010
3;2017-01;0.4833333333333333;27010
4;2018-01;0.4912698412698413;27010
5;2019-01;0.5091269841269841;27010
6;2020-01;0.551984126984127;27010
7;2021-01;0.529978354978355;27010
8;2022-01;0.43979076479076473;27010
9;2023-01;0.598917748917749;27010
10;2024-01;0.5756565656565658;27010
0;2014-01;0.6079708449868633;27007
1;2015-01;0.5769826126073265;27007
2;2016-01;0.5352228823698522;27007
3;2017-01;0.5604450997550576;27007
4;2018-01;0.591681738810771;27007
5;2019-01;0.6124637441411636;27007
6;2020-01;0.6358536645655667;27007
7;2021-01;0.5465896900034831;27007
8;2022-01;0.5979125740160223;27007
9;2023-01;0.6479234711648505;27007
10;2024-01;0.6453095545428202;27007
0;2014-01;0.46952380952380957;27004
1;2015-01;0.4588095238095238;27004
2;2016-01;0.5138095238095238;27004
3;2017-01;0.44333333333333336;27004
4;2018-01;0.6125;27004
5;2019-01;0.5285714285714286;27004
6;2020-01;0.38869047619047614;27004
7;2021-01;0.35297619047619044;27004
8;2022-01;0.39926406926406927;27004
9;2023-01;0.4261471861471861;27004
10;2024-01;0.543030303030303;27004
0;2014-01;0.9341776315789474;27001
1;2015-01;0.8876998050682261;27001
2;2016-01;0.912962962962963;27001
3;2017-01;0.8605644546147978;27001
4;2018-01;0.8526697177726927;27001
5;2019-01;0.9081018647715082;27001
6;2020-01;0.9171410175174264;27001
7;2021-01;0.908797857996286;27001
8;2022-01;0.9063173674723173;27001
9;2023-01;0.8956931602072267;27001
10;2024-01;0.8416197783461211;27001
0;2014-01;0.4886834733893557;27005
1;2015-01;0.5492787114845938;27005
2;2016-01;0.5889915966386554;27005
3;2017-01;0.4845028011204482;27005
4;2018-01;0.48718487394957977;27005
5;2019-01;0.5197478991596639;27005
6;2020-01;0.5571895424836601;27005
7;2021-01;0.6232591754650578;27005
8;2022-01;0.5368589743589743;27005
9;2023-01;0.5366452991452991;27005
10;2024-01;0.5725427350427351;27005
0;2014-01;0.5698663101604279;27003
1;2015-01;0.4590909090909091;27003
2;2016-01;0.39356060606060606;27003
3;2017-01;0.5285606060606061;27003
4;2018-01;0.5170454545454546;27003
5;2019-01;0.5957142857142858;27003
6;2020-01;0.4925108225108225;27003
7;2021-01;0.5134090909090909;27003
8;2022-01;0.6032503607503608;27003
9;2023-01;0.6489574314574315;27003
10;2024-01;0.6472979797979799;27003
0;2014-01;0.5690559440559441;27009
1;2015-01;0.48248418248418246;27009
2;2016-01;0.48044871794871796;27009
3;2017-01;0.4703296703296703;27009
4;2018-01;0.46303418803418805;27009
5;2019-01;0.5073809523809524;27009
6;2020-01;0.4608333333333333;27009
7;2021-01;0.4611111111111111;27009
8;2022-01;0.47111111111111115;27009
9;2023-01;0.6093333333333334;27009
10;2024-01;0.6993333333333334;27009
0;2014-01;0.46452380952380956;27006
1;2015-01;0.5813988095238095;27006
2;2016-01;0.5974702380952381;27006
3;2017-01;0.5669642857142857;27006
4;2018-01;0.6264880952380952;27006
5;2019-01;0.5803113553113552;27006
6;2020-01;0.5541208791208792;27006
7;2021-01;0.5134776987718165;27006
8;2022-01;0.5531480284421461;27006
9;2023-01;0.5475253178194355;27006
10;2024-01;0.5516596638655462;27006
0;2014-01;0.4309523809523809;27008
1;2015-01;0.49404761904761907;27008
2;2016-01;0.6696428571428571;27008
3;2017-01;0.5333333333333333;27008
4;2018-01;0.585;27008
5;2019-01;0.5783333333333334;27008
6;2020-01;0.6133333333333333;27008
7;2021-01;0.5364285714285714;27008
8;2022-01;0.46547619047619043;27008
9;2023-01;0.4742857142857143;27008
10;2024-01;0.534891774891775;27008
0;2014-01;0.6128205128205129;27002
1;2015-01;0.7025641025641025;27002
2;2016-01;0.7525641025641026;27002
3;2017-01;0.6065934065934065;27002
4;2018-01;0.4808608058608058;27002
5;2019-01;0.5904761904761905;27002
6;2020-01;0.4935064935064935;27002
7;2021-01;0.5773051948051948;27002
8;2022-01;0.4702272727272727;27002
9;2023-01;0.5409343434343434;27002
10;2024-01;0.6712121212121211;27002
0;2014-01;0.3213675213675214;13008
1;2015-01;0.3606837606837607;13008
2;2016-01;0.38846153846153847;13008
3;2017-01;0.33472222222222225;13008
4;2018-01;0.29317460317460314;13008
5;2019-01;0.3046031746031746;13008
6;2020-01;0.37911297852474324;13008
7;2021-01;0.5215061409179056;13008
8;2022-01;0.5214867485455721;13008
9;2023-01;0.4692824822236587;13008
10;2024-01;0.5150437797496621;13008
0;2014-01;0.511953601953602;13009
1;2015-01;0.571013431013431;13009
2;2016-01;0.5684981684981685;13009
3;2017-01;0.5353846153846153;13009
4;2018-01;0.5699253034547153;13009
5;2019-01;0.5994117647058823;13009
6;2020-01;0.6248433919022154;13009
7;2021-01;0.6620282658517953;13009
8;2022-01;0.7270602978033318;13009
9;2023-01;0.6140550239234449;13009
10;2024-01;0.6405160628844839;13009
0;2014-01;0.4971139971139971;13002
1;2015-01;0.5606060606060606;13002
2;2016-01;0.513120213120213;13002
3;2017-01;0.45677655677655676;13002
4;2018-01;0.4136141636141636;13002
5;2019-01;0.4526495726495726;13002
6;2020-01;0.5026495726495727;13002
7;2021-01;0.5502777777777779;13002
8;2022-01;0.6211111111111112;13002
9;2023-01;0.7221153846153847;13002
10;2024-01;0.6892307692307693;13002
0;2014-01;0.30454212454212454;13003
1;2015-01;0.4237362637362637;13003
2;2016-01;0.47829670329670326;13003
3;2017-01;0.6491071428571429;13003
4;2018-01;0.6257142857142857;13003
5;2019-01;0.5787301587301588;13003
6;2020-01;0.5208585858585859;13003
7;2021-01;0.5216938616938617;13003
8;2022-01;0.5714063714063714;13003
9;2023-01;0.4991142191142191;13003
10;2024-01;0.44971445221445217;13003
0;2014-01;0.7830509933089058;13001
1;2015-01;0.8067230304714561;13001
2;2016-01;0.7864175526070345;13001
3;2017-01;0.7893686506194662;13001
4;2018-01;0.6935279416358858;13001
5;2019-01;0.6991801355235057;13001
6;2020-01;0.6583361283290543;13001
7;2021-01;0.7037308836858546;13001
8;2022-01;0.6958716790931488;13001
9;2023-01;0.6797445269516371;13001
10;2024-01;0.6559311072816254;13001
0;2014-01;0.6357142857142857;13005
1;2015-01;0.5928571428571429;13005
2;2016-01;0.6178571428571429;13005
3;2017-01;0.4154761904761905;13005
4;2018-01;0.44761904761904764;13005
5;2019-01;0.6476190476190476;13005
6;2020-01;0.5803418803418803;13005
7;2021-01;0.6432073774179037;13005
8;2022-01;0.5805872490083017;13005
9;2023-01;0.588153951311846;13005
10;2024-01;0.49154704944178623;13005
0;2014-01;0.6095238095238096;13007
1;2015-01;0.3773809523809524;13007
2;2016-01;0.5533333333333333;13007
3;2017-01;0.6133333333333333;13007
4;2018-01;0.61;13007
5;2019-01;0.48166666666666663;13007
6;2020-01;0.3883333333333333;13007
7;2021-01;0.5233333333333333;13007
8;2022-01;0.505;13007
9;2023-01;0.6087878787878788;13007
10;2024-01;0.6824242424242424;13007
0;2014-01;0.40164835164835166;13004
1;2015-01;0.39342814048696406;13004
2;2016-01;0.3834851423086717;13004
3;2017-01;0.34437131495955026;13004
4;2018-01;0.3734288587229764;13004
5;2019-01;0.5379587732528909;13004
6;2020-01;0.5782051282051281;13004
7;2021-01;0.5921367521367522;13004
8;2022-01;0.4965034965034965;13004
9;2023-01;0.50476712829654;13004
10;2024-01;0.5892417386535034;13004
0;2014-01;0.7;13006
1;2015-01;0.6583333333333333;13006
2;2016-01;0.675;13006
3;2017-01;0.5666666666666667;13006
4;2018-01;0.5416666666666666;13006
5;2019-01;0.513888888888889;13006
6;2020-01;0.6512626262626263;13006
7;2021-01;0.651010101010101;13006
8;2022-01;0.7843434343434343;13006
9;2023-01;0.9121212121212121;13006
10;2024-01;0.9454545454545455;13006
0;2014-01;0.8002565277859395;16001
1;2015-01;0.7043368298368298;16001
2;2016-01;0.7567452547452548;16001
3;2017-01;0.6832076257076257;16001
4;2018-01;0.7089155762936251;16001
5;2019-01;0.8290929598856428;16001
6;2020-01;0.8626023569926009;16001
7;2021-01;0.8480477246330904;16001
8;2022-01;0.8171130207322183;16001
9;2023-01;0.7925240888144114;16001
10;2024-01;0.797090010775615;16001
0;2014-01;0.6041666666666666;16002
1;2015-01;0.4833333333333333;16002
2;2016-01;0.47333333333333333;16002
3;2017-01;0.42666666666666664;16002
4;2018-01;0.5142857142857142;16002
5;2019-01;0.5575396825396826;16002
6;2020-01;0.4738095238095238;16002
7;2021-01;0.42037337662337665;16002
8;2022-01;0.24844155844155846;16002
