;ano;retention;regiao_saude
0;2014-01;0.8125;13008
1;2015-01;0.8125;13008
2;2016-01;0.7916666666666666;13008
3;2017-01;0.625;13008
4;2018-01;0.6666666666666666;13008
5;2019-01;0.7291666666666666;13008
6;2020-01;0.6666666666666666;13008
7;2021-01;0.75;13008
8;2022-01;0.7333333333333333;13008
9;2023-01;0.5714285714285714;13008
10;2024-01;0.5923809523809525;13008
0;2014-01;0.762734327839663;13001
1;2015-01;0.7863460606352416;13001
2;2016-01;0.7408543333871733;13001
3;2017-01;0.7750015907277701;13001
4;2018-01;0.6620474293924803;13001
5;2019-01;0.6927588045626899;13001
6;2020-01;0.6511042780686767;13001
7;2021-01;0.7336601017151445;13001
8;2022-01;0.6893388644172919;13001
9;2023-01;0.7256091141659353;13001
10;2024-01;0.7807071962058132;13001
0;2014-01;1.0;13009
1;2015-01;1.0;13009
2;2016-01;0.8125;13009
3;2017-01;0.825;13009
4;2018-01;0.8;13009
5;2019-01;0.75;13009
6;2020-01;0.7625;13009
7;2021-01;0.7125;13009
8;2022-01;0.5416666666666666;13009
9;2023-01;0.5733333333333334;13009
10;2024-01;0.646984126984127;13009
0;2014-01;0.5892857142857142;13002
1;2015-01;0.6380952380952382;13002
2;2016-01;0.6547619047619048;13002
3;2017-01;0.6714285714285715;13002
4;2018-01;0.47969187675070024;13002
5;2019-01;0.5586834733893558;13002
6;2020-01;0.592436974789916;13002
7;2021-01;0.5059290382819794;13002
8;2022-01;0.5648809523809524;13002
9;2023-01;0.7166666666666667;13002
10;2024-01;0.8260416666666667;13002
0;2014-01;0.49583333333333335;13003
1;2015-01;0.6333333333333333;13003
2;2016-01;0.7166666666666667;13003
3;2017-01;0.7708333333333334;13003
4;2018-01;0.6166666666666667;13003
5;2019-01;0.6833333333333333;13003
6;2020-01;0.7833333333333333;13003
7;2021-01;0.8333333333333333;13003
8;2022-01;0.6833333333333333;13003
9;2023-01;0.6833333333333333;13003
10;2024-01;0.675;13003
0;2014-01;0.6666666666666666;13004
1;2015-01;0.6944444444444444;13004
2;2016-01;0.8194444444444444;13004
3;2017-01;0.5648148148148148;13004
4;2018-01;0.5347222222222222;13004
5;2019-01;0.6944444444444443;13004
6;2020-01;0.6284722222222222;13004
7;2021-01;0.7451388888888889;13004
8;2022-01;0.6088888888888888;13004
9;2023-01;0.6505555555555556;13004
10;2024-01;0.7616666666666666;13004
0;2014-01;1.0;13006
1;2015-01;1.0;13006
2;2016-01;1.0;13006
3;2017-01;0.9166666666666666;13006
4;2018-01;0.6666666666666666;13006
5;2019-01;0.75;13006
6;2020-01;0.6349206349206349;13006
7;2021-01;0.8452380952380952;13006
8;2022-01;0.9017857142857143;13006
9;2023-01;0.8563311688311689;13006
10;2024-01;0.8920454545454546;13006
0;2014-01;0.5609523809523809;13005
1;2015-01;0.7288888888888889;13005
2;2016-01;0.5733333333333334;13005
3;2017-01;0.5233333333333333;13005
4;2018-01;0.6018518518518519;13005
5;2019-01;0.75;13005
6;2020-01;0.8194444444444444;13005
7;2021-01;0.8333333333333333;13005
8;2022-01;0.8488888888888889;13005
9;2023-01;0.6583333333333333;13005
10;2024-01;0.7102941176470589;13005
0;2014-01;1.0;13007
1;2015-01;1.0;13007
2;2016-01;1.0;13007
3;2017-01;1.0;13007
4;2018-01;1.0;13007
5;2019-01;0.875;13007
6;2020-01;0.8333333333333333;13007
7;2021-01;0.7666666666666667;13007
8;2022-01;0.8;13007
9;2023-01;0.8666666666666666;13007
10;2024-01;0.8333333333333334;13007
0;2014-01;0.41666666666666663;16002
1;2015-01;0.6904761904761905;16002
2;2016-01;0.8412698412698413;16002
3;2017-01;0.8095238095238094;16002
4;2018-01;0.5476190476190476;16002
5;2019-01;0.6107142857142858;16002
6;2020-01;0.7000000000000001;16002
7;2021-01;0.6333333333333333;16002
8;2022-01;0.45555555555555555;16002
9;2023-01;0.5666666666666667;16002
10;2024-01;0.8333333333333334;16002
0;2014-01;0.6346153846153846;16003
1;2015-01;0.6012820512820513;16003
2;2016-01;0.7;16003
3;2017-01;0.6207875457875458;16003
4;2018-01;0.6697802197802198;16003
5;2019-01;0.6804945054945055;16003
6;2020-01;0.6892857142857143;16003
7;2021-01;0.7498412698412699;16003
8;2022-01;0.6446031746031746;16003
9;2023-01;0.6811111111111111;16003
10;2024-01;0.5594685990338164;16003
0;2014-01;0.6261874078920412;16001
1;2015-01;0.5798365225118334;16001
2;2016-01;0.6455935163188407;16001
3;2017-01;0.6792041347884895;16001
4;2018-01;0.7669573374663512;16001
5;2019-01;0.8590880998485015;16001
6;2020-01;0.8719526500250339;16001
7;2021-01;0.900968431947559;16001
8;2022-01;0.8701619721202263;16001
9;2023-01;0.8446862868314481;16001
10;2024-01;0.8457986041541441;16001
