;regiao_saude;retencao_geral
0;13008;0.7412616593028966
0;13001;0.6529572165728369
0;13009;0.7868694885361552
0;13002;0.6065764607124902
0;13003;0.6679783950617283
0;13004;0.6804278416347381
0;13006;0.8583625369339655
0;13005;0.6818119404624595
0;13007;0.8785714285714286
0;16002;0.6857142857142857
0;16003;0.601766718415711
0;16001;0.7122024816855584
0;29003;0.603875441723739
0;29001;0.6622153950475433
0;29026;0.6743208576794216
0;29022;0.6633248177126257
0;29006;0.6572380273088355
0;29010;0.6279528826133497
0;29024;0.720360737878039
0;29025;0.6861064165485199
0;29008;0.7014654418197726
0;29028;0.723672866962224
0;29002;0.6731545877022523
0;29015;0.647083505737319
0;29021;0.6165701049159695
0;29013;0.6524696889200707
0;29005;0.5617901049836151
0;29007;0.7119999424595013
0;29012;0.7534374346438047
0;29004;0.6270258940939707
0;29020;0.7370500262068702
0;29016;0.6291293163535809
0;29017;0.7588978015448603
0;29019;0.6668105448807203
0;29018;0.6868378074220466
0;29027;0.694675528239542
0;29011;0.604421978202466
0;29009;0.6667549612815655
0;29023;0.6115717615717615
0;29014;0.587475353315048
0;23012;0.6141330891330891
0;23014;0.6539712345267901
0;23006;0.618213649096002
0;23001;0.7551598737451175
0;23007;0.7361607353998659
0;23019;0.6002500716195569
0;23021;0.7373928613568106
0;23004;0.6140522875816994
0;23005;0.67671279337946
0;23016;0.6030559646539029
0;23011;0.6106400083074737
0;23022;0.4992228713134237
0;23002;0.5375587019668404
0;23015;0.6511569211017739
0;23020;0.5488693180106842
0;23010;0.5662409051235777
0;23003;0.5842715642555795
0;23013;0.5808352361923791
0;23017;0.5667207792207791
0;23018;0.5652472527472527
0;23009;0.5815325950091574
0;23008;0.563275677961243
0;53001;0.6889917352819861
0;32002;0.7395514841439329
0;32005;0.7265779810721721
0;32004;0.7327209081727363
0;52004;0.5691456793027141
0;52011;0.645489248396523
0;52001;0.708310243636884
0;52002;0.6005913768333786
0;52012;0.6304462583708492
0;52007;0.7795107033639144
0;52017;0.6552353380156585
0;52005;0.7284742859757656
0;52006;0.6776683087027915
0;52013;0.7283907269201387
0;52008;0.7601656314699794
0;52003;0.6103086183968537
0;52009;0.6383351790328535
0;52018;0.7170947924624396
0;52016;0.7000782649582958
0;52014;0.7023132017034457
0;52010;0.6517955288175876
0;52015;0.7450610389097906
0;15011;0.6300390850119953
0;15007;0.6863656783468103
0;15013;0.8341836734693877
0;15001;0.6269390175856439
0;15002;0.636675932991165
0;15012;0.6400193297581357
0;15006;0.7150944615044409
0;15009;0.5785645652057866
0;15003;0.6888264701305359
0;15004;0.8208198051948051
0;15014;0.7491666666666668
0;15008;0.5831285447879158
0;15010;0.8407125022293561
0;26001;0.6423998591278003
0;26009;0.6697118761348865
0;26003;0.6762228036938339
0;26008;0.5026883335619893
0;26005;0.5739773854021962
0;26010;0.7767555512356332
0;26002;0.6279241105636002
0;26007;0.6518749152082485
0;26004;0.6629916103796701
0;26012;0.6663983579857282
0;26006;0.612832822135004
0;26011;0.6774209804870183
0;22007;0.8070175438596492
0;22011;0.6821425981425983
0;22003;0.5624903163039475
