;ano;retention;regiao_saude
0;2014-01;1.0;13008
1;2015-01;1.0;13008
2;2016-01;1.0;13008
3;2017-01;1.0;13008
4;2018-01;1.0;13008
5;2019-01;1.0;13008
6;2020-01;1.0;13008
7;2021-01;1.0;13008
8;2022-01;1.0;13008
9;2023-01;0.75;13008
10;2024-01;0.75;13008
0;2014-01;0.6930891330891331;13001
1;2015-01;0.6286446886446886;13001
2;2016-01;0.6432105149752207;13001
3;2017-01;0.6688450764921353;13001
4;2018-01;0.6226379013143719;13001
5;2019-01;0.6578568490333196;13001
6;2020-01;0.6444750347691525;13001
7;2021-01;0.6861621711621713;13001
8;2022-01;0.6778746253746254;13001
9;2023-01;0.7124269982890673;13001
10;2024-01;0.6925000287069253;13001
0;2015-01;1.0;13009
1;2016-01;1.0;13009
2;2017-01;1.0;13009
3;2018-01;1.0;13009
4;2019-01;0.875;13009
5;2020-01;0.9166666666666666;13009
6;2021-01;0.8333333333333334;13009
7;2022-01;0.8055555555555555;13009
8;2023-01;0.8541666666666666;13009
9;2024-01;0.7916666666666666;13009
0;2014-01;1.0;13002
1;2015-01;0.8333333333333334;13002
2;2016-01;0.7222222222222222;13002
3;2017-01;0.6666666666666666;13002
4;2018-01;0.5833333333333334;13002
5;2019-01;0.75;13002
6;2020-01;0.7777777777777778;13002
7;2021-01;0.7916666666666666;13002
8;2022-01;0.6666666666666666;13002
9;2023-01;0.7333333333333333;13002
10;2024-01;0.625;13002
0;2014-01;1.0;13003
1;2015-01;1.0;13003
2;2016-01;1.0;13003
3;2017-01;1.0;13003
4;2018-01;1.0;13003
5;2019-01;1.0;13003
6;2020-01;1.0;13003
7;2021-01;1.0;13003
8;2022-01;1.0;13003
9;2023-01;1.0;13003
10;2024-01;1.0;13003
0;2015-01;1.0;13004
1;2016-01;1.0;13004
2;2017-01;1.0;13004
3;2018-01;;13004
4;2019-01;1.0;13004
5;2020-01;1.0;13004
6;2021-01;0.7222222222222222;13004
7;2022-01;0.8333333333333334;13004
8;2023-01;0.6875;13004
9;2024-01;0.7291666666666666;13004
0;2014-01;1.0;13006
1;2015-01;1.0;13006
2;2016-01;1.0;13006
3;2017-01;1.0;13006
4;2018-01;1.0;13006
5;2019-01;1.0;13006
6;2020-01;1.0;13006
7;2021-01;1.0;13006
8;2022-01;1.0;13006
9;2023-01;1.0;13006
10;2024-01;0.9;13006
0;2014-01;;13005
1;2015-01;0.75;13005
2;2016-01;1.0;13005
3;2017-01;0.8333333333333334;13005
4;2018-01;0.875;13005
5;2019-01;1.0;13005
6;2020-01;0.9166666666666666;13005
7;2021-01;0.9166666666666666;13005
8;2022-01;0.8888888888888888;13005
9;2023-01;0.8888888888888888;13005
10;2024-01;0.8888888888888888;13005
0;2022-01;1.0;13007
1;2023-01;1.0;13007
2;2024-01;1.0;13007
0;2014-01;1.0;16002
1;2015-01;;16002
2;2016-01;1.0;16002
3;2017-01;1.0;16002
4;2018-01;1.0;16002
5;2019-01;;16002
6;2020-01;;16002
7;2021-01;1.0;16002
8;2022-01;;16002
9;2023-01;1.0;16002
10;2024-01;1.0;16002
0;2014-01;0.6866666666666668;16003
1;2015-01;0.8;16003
2;2016-01;0.8333333333333334;16003
3;2017-01;0.8;16003
4;2018-01;0.6666666666666666;16003
5;2019-01;0.6666666666666666;16003
6;2020-01;0.75;16003
7;2021-01;0.5833333333333333;16003
8;2022-01;0.5;16003
9;2023-01;0.5;16003
10;2024-01;0.625;16003
0;2014-01;0.803968253968254;16001
1;2015-01;0.8011904761904761;16001
2;2016-01;0.8861111111111111;16001
3;2017-01;0.8861111111111111;16001
4;2018-01;0.888888888888889;16001
5;2019-01;1.0;16001
6;2020-01;0.9714285714285715;16001
7;2021-01;0.8714285714285713;16001
8;2022-01;0.8714285714285713;16001
9;2023-01;0.8714285714285713;16001
10;2024-01;0.9047619047619048;16001
0;2014-01;0.75;29003
1;2015-01;0.8;29003
2;2016-01;0.8;29003
3;2017-01;0.625;29003
4;2018-01;0.7;29003
5;2019-01;0.8;29003
6;2020-01;0.7333333333333333;29003
7;2021-01;0.8333333333333333;29003
8;2022-01;0.7916666666666666;29003
9;2023-01;0.611111111111111;29003
10;2024-01;0.5833333333333334;29003
0;2014-01;0.875;29001
1;2015-01;0.8714285714285716;29001
2;2016-01;0.9428571428571428;29001
3;2017-01;0.8869047619047619;29001
4;2018-01;0.8303571428571428;29001
5;2019-01;0.8303571428571428;29001
6;2020-01;0.7897727272727273;29001
7;2021-01;0.8314393939393939;29001
8;2022-01;0.6303030303030303;29001
9;2023-01;0.7121212121212122;29001
10;2024-01;0.7916666666666666;29001
0;2014-01;0.75;29026
1;2015-01;0.75;29026
2;2016-01;0.75;29026
3;2017-01;0.75;29026
4;2018-01;0.5833333333333333;29026
5;2019-01;0.5833333333333333;29026
6;2020-01;0.6833333333333333;29026
7;2021-01;0.625;29026
8;2022-01;0.675;29026
9;2023-01;0.6214285714285714;29026
10;2024-01;0.6642857142857143;29026
0;2014-01;0.5833333333333334;29022
1;2015-01;0.625;29022
2;2016-01;0.5833333333333334;29022
3;2017-01;0.6277777777777778;29022
4;2018-01;0.6291666666666667;29022
5;2019-01;0.7392857142857143;29022
6;2020-01;0.7767857142857143;29022
7;2021-01;0.7714285714285715;29022
8;2022-01;0.8047619047619048;29022
9;2023-01;0.8;29022
10;2024-01;0.7333333333333333;29022
0;2014-01;0.7995238095238095;29006
1;2015-01;0.8122222222222222;29006
2;2016-01;0.8058730158730159;29006
3;2017-01;0.7747619047619048;29006
4;2018-01;0.7980952380952381;29006
5;2019-01;0.7045238095238096;29006
6;2020-01;0.655;29006
7;2021-01;0.755;29006
8;2022-01;0.695;29006
9;2023-01;0.7151515151515151;29006
10;2024-01;0.8065800865800865;29006
0;2014-01;1.0;29010
1;2015-01;0.8666666666666667;29010
2;2016-01;0.7166666666666667;29010
3;2017-01;0.7066666666666667;29010
4;2018-01;0.64;29010
5;2019-01;0.525;29010
6;2020-01;0.5199999999999999;29010
7;2021-01;0.52;29010
8;2022-01;0.5866666666666667;29010
9;2023-01;0.6266666666666667;29010
10;2024-01;0.7266666666666667;29010
0;2014-01;1.0;29024
1;2015-01;1.0;29024
2;2016-01;1.0;29024
3;2017-01;1.0;29024
4;2018-01;1.0;29024
5;2019-01;1.0;29024
6;2020-01;1.0;29024
7;2021-01;0.875;29024
8;2022-01;0.875;29024
9;2023-01;0.9;29024
10;2024-01;1.0;29024
0;2014-01;0.9166666666666667;29025
1;2015-01;0.8125;29025
2;2016-01;0.7625;29025
3;2017-01;0.6708333333333334;29025
4;2018-01;0.425;29025
5;2019-01;0.5855555555555556;29025
6;2020-01;0.6233333333333333;29025
7;2021-01;0.6166666666666666;29025
8;2022-01;0.4259259259259259;29025
9;2023-01;0.46944444444444444;29025
10;2024-01;0.65;29025
0;2014-01;1.0;29008
1;2015-01;1.0;29008
2;2016-01;1.0;29008
3;2017-01;1.0;29008
4;2018-01;1.0;29008
5;2019-01;1.0;29008
6;2020-01;1.0;29008
7;2021-01;0.8888888888888888;29008
8;2022-01;0.9166666666666666;29008
9;2023-01;0.8333333333333333;29008
10;2024-01;0.9333333333333332;29008
0;2014-01;0.9333333333333332;29028
1;2015-01;0.8333333333333333;29028
2;2016-01;0.6666666666666666;29028
3;2017-01;0.6666666666666667;29028
4;2018-01;0.8;29028
5;2019-01;0.7666666666666667;29028
6;2020-01;0.7666666666666667;29028
7;2021-01;0.7666666666666667;29028
8;2022-01;0.8333333333333333;29028
9;2023-01;0.8333333333333333;29028
10;2024-01;0.76;29028
0;2014-01;0.6833333333333333;29002
1;2015-01;0.7833333333333333;29002
2;2016-01;0.7833333333333333;29002
3;2017-01;0.75;29002
4;2018-01;0.7;29002
5;2019-01;0.75;29002
6;2020-01;0.8333333333333333;29002
7;2021-01;0.7666666666666666;29002
8;2022-01;0.7333333333333333;29002
9;2023-01;0.8333333333333334;29002
10;2024-01;0.7933333333333333;29002
0;2014-01;1.0;29015
1;2015-01;0.7916666666666666;29015
2;2016-01;0.8333333333333333;29015
3;2017-01;0.8533333333333333;29015
4;2018-01;0.7533333333333333;29015
5;2019-01;0.775;29015
6;2020-01;0.77;29015
7;2021-01;0.7;29015
8;2022-01;0.6333333333333333;29015
9;2023-01;0.6533333333333333;29015
10;2024-01;0.6466666666666667;29015
0;2014-01;0.875;29021
1;2015-01;1.0;29021
2;2016-01;1.0;29021
3;2017-01;1.0;29021
4;2018-01;0.875;29021
5;2019-01;0.875;29021
6;2020-01;0.875;29021
7;2021-01;0.75;29021
8;2022-01;0.8333333333333334;29021
9;2023-01;0.8333333333333334;29021
10;2024-01;0.875;29021
0;2014-01;0.75;29013
1;2015-01;0.75;29013
2;2016-01;0.8333333333333334;29013
3;2017-01;0.8333333333333334;29013
4;2018-01;0.7222222222222222;29013
5;2019-01;0.8333333333333334;29013
6;2020-01;0.8333333333333334;29013
7;2021-01;0.8333333333333334;29013
8;2022-01;1.0;29013
9;2023-01;1.0;29013
10;2024-01;0.8333333333333334;29013
0;2014-01;0.7333333333333333;29005
1;2015-01;0.5;29005
2;2016-01;0.5833333333333333;29005
3;2017-01;0.6666666666666666;29005
4;2018-01;0.5416666666666666;29005
5;2019-01;0.6333333333333333;29005
6;2020-01;0.7;29005
7;2021-01;0.8333333333333333;29005
8;2022-01;0.6666666666666666;29005
9;2023-01;0.6666666666666666;29005
10;2024-01;0.6666666666666666;29005
0;2014-01;1.0;29007
1;2015-01;1.0;29007
2;2016-01;1.0;29007
3;2017-01;0.875;29007
4;2018-01;0.7333333333333333;29007
5;2019-01;0.7666666666666666;29007
6;2020-01;0.75;29007
7;2021-01;0.6416666666666666;29007
8;2022-01;0.78125;29007
9;2023-01;0.6916666666666667;29007
10;2024-01;0.825;29007
0;2014-01;0.6388888888888888;29012
1;2015-01;0.8222222222222223;29012
2;2016-01;0.85;29012
3;2017-01;0.7625;29012
4;2018-01;0.5125;29012
5;2019-01;0.6418181818181818;29012
6;2020-01;0.6818181818181819;29012
7;2021-01;0.5818181818181818;29012
8;2022-01;0.5795454545454546;29012
9;2023-01;0.5554545454545454;29012
10;2024-01;0.46515151515151515;29012
0;2014-01;0.8011363636363636;29004
1;2015-01;0.7242424242424242;29004
2;2016-01;0.8429292929292929;29004
3;2017-01;0.7575757575757576;29004
4;2018-01;0.8242424242424242;29004
5;2019-01;0.7877777777777778;29004
6;2020-01;0.6844444444444444;29004
7;2021-01;0.6406349206349207;29004
8;2022-01;0.7752503052503052;29004
9;2023-01;0.7073978309272426;29004
10;2024-01;0.741988077282195;29004
0;2014-01;0.7629706804351835;29020
1;2015-01;0.7306466609082174;29020
2;2016-01;0.7313886389401496;29020
3;2017-01;0.7657688896460714;29020
4;2018-01;0.7857448537622058;29020
5;2019-01;0.7976689118520688;29020
6;2020-01;0.8079342102903999;29020
7;2021-01;0.7905590651103767;29020
8;2022-01;0.7877695525262556;29020
9;2023-01;0.7643170661590657;29020
10;2024-01;0.6863585462689606;29020
0;2014-01;0.875;29016
1;2015-01;0.9;29016
2;2016-01;1.0;29016
3;2017-01;0.75;29016
4;2018-01;0.75;29016
5;2019-01;0.8;29016
6;2020-01;0.9;29016
7;2021-01;0.9;29016
8;2022-01;0.825;29016
9;2023-01;0.8699999999999999;29016
10;2024-01;0.8699999999999999;29016
0;2014-01;0.9375;29017
1;2015-01;0.95;29017
2;2016-01;0.85;29017
3;2017-01;0.9166666666666666;29017
4;2018-01;1.0;29017
5;2019-01;1.0;29017
6;2020-01;1.0;29017
7;2021-01;1.0;29017
8;2022-01;1.0;29017
9;2023-01;0.875;29017
10;2024-01;0.875;29017
0;2014-01;;29019
1;2015-01;0.875;29019
2;2016-01;0.75;29019
3;2017-01;0.5833333333333334;29019
4;2018-01;0.625;29019
5;2019-01;0.5;29019
6;2020-01;0.6458333333333334;29019
7;2021-01;0.47916666666666663;29019
8;2022-01;0.9166666666666667;29019
9;2023-01;0.8888888888888888;29019
10;2024-01;0.5972222222222222;29019
0;2014-01;0.8333333333333334;29018
1;2015-01;0.7916666666666666;29018
2;2016-01;0.7916666666666666;29018
3;2017-01;0.8333333333333334;29018
4;2018-01;0.9;29018
5;2019-01;1.0;29018
6;2020-01;1.0;29018
7;2021-01;1.0;29018
8;2022-01;0.8125;29018
9;2023-01;0.8125;29018
10;2024-01;0.65;29018
0;2014-01;0.8333333333333334;29027
1;2015-01;0.875;29027
2;2016-01;0.8333333333333333;29027
3;2017-01;0.9166666666666666;29027
4;2018-01;0.9166666666666666;29027
5;2019-01;0.7916666666666666;29027
6;2020-01;0.7;29027
7;2021-01;0.75;29027
8;2022-01;0.8888888888888888;29027
9;2023-01;0.8333333333333333;29027
10;2024-01;0.6666666666666666;29027
0;2014-01;0.75;29011
1;2015-01;0.75;29011
2;2016-01;0.875;29011
3;2017-01;0.7916666666666666;29011
4;2018-01;0.7708333333333333;29011
5;2019-01;0.8055555555555555;29011
6;2020-01;0.7222222222222222;29011
7;2021-01;0.6041666666666666;29011
8;2022-01;0.5208333333333333;29011
9;2023-01;0.6166666666666666;29011
10;2024-01;0.6166666666666666;29011
0;2014-01;0.625;29009
1;2015-01;0.7083333333333333;29009
2;2016-01;0.7333333333333333;29009
3;2017-01;0.7333333333333333;29009
4;2018-01;0.7;29009
5;2019-01;0.7;29009
6;2020-01;0.8333333333333333;29009
7;2021-01;0.8666666666666666;29009
8;2022-01;0.8;29009
9;2023-01;0.7916666666666666;29009
10;2024-01;0.9166666666666666;29009
0;2014-01;0.8888888888888888;29023
1;2015-01;1.0;29023
2;2016-01;0.8541666666666666;29023
3;2017-01;0.5833333333333334;29023
4;2018-01;0.75;29023
5;2019-01;0.75;29023
6;2020-01;0.75;29023
7;2021-01;1.0;29023
8;2022-01;0.5;29023
9;2023-01;0.75;29023
10;2024-01;0.75;29023
