;regiao_saude;retencao_geral
0;13008;0.9615384615384616
0;13001;0.6248678996574162
0;13009;0.90625
0;13002;0.7314814814814814
0;13003;1.0
0;13004;0.869047619047619
0;13006;0.9857142857142858
0;13005;0.8946078431372549
0;13007;1.0
0;16002;1.0
0;16003;0.6686915887850468
0;16001;0.8681443970623074
0;29003;0.7966666666666667
0;29001;0.8058773058773059
0;29026;0.7354788069073783
0;29022;0.7329117063492063
0;29006;0.7291252864782277
0;29010;0.7265917602996254
0;29024;0.9840425531914894
0;29025;0.6775681341719078
0;29008;0.9541666666666668
0;29028;0.8165394402035624
0;29002;0.7297720797720798
0;29015;0.8093333333333333
0;29021;0.9080459770114943
0;29013;0.8592592592592592
0;29005;0.7516339869281045
0;29007;0.8353909465020575
0;29012;0.6467146714671467
0;29004;0.738129995106174
0;29020;0.711834136647884
0;29016;0.845565749235474
0;29017;0.9390243902439024
0;29019;0.7165032679738563
0;29018;0.8344569288389513
0;29027;0.862139917695473
0;29011;0.7378048780487805
0;29009;0.7540453074433657
0;29023;0.8220720720720721
0;29014;0.8333333333333334
0;23012;0.716417910447761
0;23014;0.6805555555555556
0;23006;0.6790404040404041
0;23001;0.7705502190913478
0;23007;1.0
0;23019;0.9126984126984127
0;23021;0.806986531986532
0;23004;0.7647679324894514
0;23005;0.7767857142857143
0;23016;0.861111111111111
0;23011;0.7109432234432234
0;23022;0.7129432624113475
0;23002;0.6295065829949552
0;23015;0.7255434782608695
0;23020;0.7376344086021505
0;23010;0.909375
0;23003;0.644354822954823
0;23013;0.7769953051643192
0;23017;0.9023809523809524
0;23018;0.7797619047619049
0;23009;0.8601190476190476
0;23008;0.7425373134328358
0;53001;0.6611839048571758
0;32002;0.7500117312566678
0;32005;0.6884524940080496
0;32004;0.7442857142857142
0;52004;0.701301247771836
0;52011;0.7171396504729838
0;52001;0.7742266020886509
0;52002;0.6768347931138629
0;52012;0.7178030303030303
0;52007;0.96875
0;52017;0.7882262996941897
0;52005;0.8595730027548208
0;52006;1.0
0;52013;0.8642857142857143
0;52008;0.823076923076923
0;52003;0.8747967479674796
0;52009;1.0
0;52018;0.8877314814814815
0;52016;0.8037098560354374
0;52014;0.8062248995983935
0;52010;0.768199233716475
0;52015;0.7344339622641509
0;15011;0.6533116883116883
0;15007;0.8425925925925924
0;15013;1.0
0;15001;0.8188775510204082
0;15002;0.8049272486772485
0;15012;0.815873015873016
0;15006;0.7855585579319359
0;15009;0.6537037037037038
0;15003;0.8232202064263132
0;15004;0.9093406593406593
0;15014;0.8571428571428571
0;15008;0.6929926442121565
0;15010;0.7269230769230769
0;26001;0.8541666666666667
0;26009;0.763888888888889
0;26003;0.659250859434683
0;26008;0.6045705782312926
0;26005;0.6945028011204483
0;26010;0.7477144495564295
0;26002;0.7241263440860215
0;26007;0.7943548387096774
0;26004;0.7632000000000001
0;26012;0.819620253164557
0;26006;0.679544602379248
0;26011;0.7154088050314465
0;22007;0.800925925925926
0;22011;0.7257042253521128
0;22003;0.673402163225172
0;22002;0.9523809523809523
0;22005;0.6435435435435435
0;22009;0.6509875880176633
0;22001;0.7421855921855922
0;22010;0.8099415204678362
0;22008;0.8665223665223665
0;22004;0.6981599079025549
0;22006;0.8782771535580525
0;41002;0.7097854848543665
0;41012;0.7512437810945273
0;41014;0.6631268436578172
0;41017;0.6807884286784542
0;41018;0.7520440251572327
0;41016;0.7257613168724281
0;41011;0.7760797342192691
0;41020;0.8343979868370112
0;41015;0.6910364358052226
0;41008;0.6976608187134503
0;41010;0.6634890323351862
0;41005;0.711064425770308
0;41003;0.7315446808093866
0;41019;0.6861074705111403
0;41013;0.835820895522388
0;41007;0.734469696969697
0;41021;0.8259259259259258
0;41009;0.7136596667652569
0;41001;0.6875661375661376
0;41004;0.698030303030303
0;41022;0.7621004566210046
0;41006;0.8196428571428571
0;33001;0.7535310734463276
0;33007;0.8277111164978812
0;33002;0.735082077635087
0;33004;0.7654585623775202
0;33005;0.6697044927271527
0;33009;0.7891191403031802
0;33008;0.7770998885293868
0;33003;0.6990980832892598
0;33006;0.687840354458864
0;24004;0.6738827838827839
0;24008;0.7131782945736433
0;24003;0.6449594731509626
0;24006;0.7463465298142717
0;24002;0.8788011695906434
0;24001;0.639462425595238
0;24007;0.7781082494342682
0;24005;0.6749999999999998
0;11001;0.8161764705882352
0;11002;0.9391891891891891
0;11006;0.75
0;11003;0.8083333333333332
0;11005;0.98
0;11004;0.7568460149797794
0;11007;1.0
0;14001;0.8342808247766925
0;14002;0.95
0;43001;0.7519790564827328
0;43003;0.8330864197530864
0;43015;0.6732860520094562
0;43010;0.8067023712883687
0;43026;0.8117471988795519
0;43029;0.678501984126984
0;43027;0.8888888888888888
0;43021;0.6959991708126037
0;43013;0.6981080647747315
0;43022;0.7872340425531915
0;43008;0.6739824305008044
0;43016;0.8227611940298507
0;43019;0.7900943396226415
0;43025;0.904924704924705
0;43030;0.7514749262536873
0;43020;0.7505128205128205
0;43009;0.665929203539823
0;43007;0.7503277713165772
0;43014;0.7387978142076502
0;43023;0.7188283122106652
0;43004;0.9472222222222222
0;43017;0.7217465685026239
0;43011;0.6287878787878788
