;ano;retention;regiao_saude
0;2014-01;0.4;12002
1;2015-01;0.7;12002
2;2016-01;0.7;12002
3;2017-01;0.7;12002
4;2018-01;0.7999999999999999;12002
5;2019-01;0.6333333333333333;12002
6;2020-01;0.675;12002
7;2021-01;0.675;12002
8;2022-01;0.875;12002
9;2023-01;0.8333333333333334;12002
10;2024-01;1.0;12002
0;2014-01;0.8333333333333334;27007
1;2015-01;0.8666666666666666;27007
2;2016-01;1.0;27007
3;2017-01;1.0;27007
4;2018-01;1.0;27007
5;2019-01;0.9166666666666666;27007
6;2020-01;0.6333333333333333;27007
7;2021-01;0.7;27007
8;2022-01;0.7666666666666666;27007
9;2023-01;0.8666666666666666;27007
10;2024-01;0.8333333333333334;27007
0;2014-01;0.8875;27001
1;2015-01;0.8766666666666667;27001
2;2016-01;0.9166666666666666;27001
3;2017-01;0.9166666666666666;27001
4;2018-01;0.9166666666666666;27001
5;2019-01;0.9166666666666666;27001
6;2020-01;0.9166666666666666;27001
7;2021-01;0.95;27001
8;2022-01;0.9099999999999999;27001
9;2023-01;0.96;27001
10;2024-01;0.9377777777777778;27001
0;2014-01;0.75;13001
1;2015-01;0.7333333333333333;13001
2;2016-01;0.6916666666666667;13001
3;2017-01;0.8166666666666667;13001
4;2018-01;0.8166666666666667;13001
5;2019-01;0.8833333333333334;13001
6;2020-01;0.8166666666666667;13001
7;2021-01;0.8711111111111111;13001
8;2022-01;0.8133333333333332;13001
9;2023-01;0.8577777777777778;13001
10;2024-01;0.8533333333333333;13001
0;2014-01;;23004
1;2015-01;;23004
2;2016-01;;23004
3;2017-01;;23004
4;2018-01;;23004
5;2019-01;;23004
6;2020-01;;23004
7;2021-01;;23004
8;2022-01;;23004
9;2023-01;;23004
10;2024-01;;23004
0;2014-01;0.9603174603174602;23001
1;2015-01;0.9638888888888889;23001
2;2016-01;0.9216666666666666;23001
3;2017-01;0.975;23001
4;2018-01;0.9568181818181818;23001
5;2019-01;0.8454545454545455;23001
6;2020-01;0.9;23001
7;2021-01;0.9;23001
8;2022-01;0.96;23001
9;2023-01;0.96;23001
10;2024-01;0.9092063492063491;23001
0;2014-01;;23013
1;2015-01;;23013
2;2016-01;;23013
3;2017-01;;23013
4;2018-01;;23013
5;2019-01;;23013
6;2020-01;;23013
7;2021-01;;23013
8;2022-01;;23013
9;2023-01;;23013
10;2024-01;;23013
0;2014-01;1.0;23021
1;2015-01;1.0;23021
2;2016-01;1.0;23021
3;2017-01;0.8333333333333333;23021
4;2018-01;0.8055555555555555;23021
5;2019-01;0.7222222222222222;23021
6;2020-01;0.7916666666666666;23021
7;2021-01;0.7916666666666666;23021
8;2022-01;0.9375;23021
9;2023-01;0.875;23021
10;2024-01;0.875;23021
0;2014-01;;23022
1;2015-01;;23022
2;2016-01;;23022
3;2017-01;;23022
4;2018-01;;23022
5;2019-01;;23022
6;2020-01;;23022
7;2021-01;;23022
8;2022-01;;23022
9;2023-01;;23022
10;2024-01;;23022
0;2014-01;0.8055555555555555;23011
1;2015-01;0.7916666666666666;23011
2;2016-01;0.7916666666666666;23011
3;2017-01;0.7777777777777777;23011
4;2018-01;0.8333333333333333;23011
5;2019-01;0.8333333333333333;23011
6;2020-01;0.8888888888888888;23011
7;2021-01;0.9166666666666666;23011
8;2022-01;0.8333333333333334;23011
9;2023-01;0.875;23011
10;2024-01;0.75;23011
0;2014-01;0.6976190476190476;32002
1;2015-01;0.7833333333333334;32002
2;2016-01;0.7766666666666666;32002
3;2017-01;0.9099999999999999;32002
4;2018-01;0.9199999999999999;32002
5;2019-01;0.8866666666666667;32002
6;2020-01;0.8266666666666665;32002
7;2021-01;0.9;32002
8;2022-01;0.9666666666666666;32002
9;2023-01;0.9583333333333334;32002
10;2024-01;0.9583333333333334;32002
0;2014-01;1.0;32004
1;2015-01;1.0;32004
2;2016-01;1.0;32004
3;2017-01;1.0;32004
4;2018-01;1.0;32004
5;2019-01;1.0;32004
6;2020-01;1.0;32004
7;2021-01;1.0;32004
8;2022-01;1.0;32004
9;2023-01;1.0;32004
10;2024-01;1.0;32004
0;2014-01;1.0;32005
1;2015-01;1.0;32005
2;2016-01;1.0;32005
3;2017-01;1.0;32005
4;2018-01;1.0;32005
5;2019-01;1.0;32005
6;2020-01;0.41666666666666663;32005
7;2021-01;0.611111111111111;32005
8;2022-01;0.7083333333333334;32005
9;2023-01;0.8333333333333334;32005
10;2024-01;0.8666666666666666;32005
