;ano;retention;regiao_saude
0;2014-01;1.0;12002
1;2015-01;0.5625;12002
2;2016-01;0.5625;12002
3;2017-01;0.5625;12002
4;2018-01;0.7083333333333334;12002
5;2019-01;0.5416666666666666;12002
6;2020-01;0.625;12002
7;2021-01;0.6875;12002
8;2022-01;0.8;12002
9;2023-01;0.7333333333333333;12002
10;2024-01;0.6666666666666666;12002
0;2014-01;0.8695652173913043;27007
1;2015-01;0.8260869565217391;27007
2;2016-01;0.8695652173913043;27007
3;2017-01;0.6884057971014492;27007
4;2018-01;0.7222222222222222;27007
5;2019-01;0.5666666666666667;27007
6;2020-01;0.5533333333333333;27007
7;2021-01;0.5583333333333333;27007
8;2022-01;0.44666666666666666;27007
9;2023-01;0.4809523809523809;27007
10;2024-01;0.5523809523809524;27007
0;2014-01;0.8402985074626865;27001
1;2015-01;0.8465450525152018;27001
2;2016-01;0.7745288707975275;27001
3;2017-01;0.819623096638022;27001
4;2018-01;0.7532323232323233;27001
5;2019-01;0.7650505050505051;27001
6;2020-01;0.6540909090909091;27001
7;2021-01;0.72;27001
8;2022-01;0.7472222222222222;27001
9;2023-01;0.6592063492063491;27001
10;2024-01;0.7632467532467533;27001
0;2014-01;0.8333333333333333;27008
1;2015-01;0.6666666666666666;27008
2;2016-01;0.6666666666666666;27008
3;2017-01;0.7777777777777778;27008
4;2018-01;0.7222222222222222;27008
5;2019-01;0.875;27008
6;2020-01;0.6666666666666666;27008
7;2021-01;0.6666666666666666;27008
8;2022-01;0.6666666666666666;27008
9;2023-01;0.6666666666666666;27008
10;2024-01;0.5416666666666666;27008
0;2014-01;0.75;27009
1;2015-01;0.8125;27009
2;2016-01;0.8125;27009
3;2017-01;0.8333333333333334;27009
4;2018-01;0.6875;27009
5;2019-01;0.6833333333333333;27009
6;2020-01;0.6833333333333333;27009
7;2021-01;0.6041666666666666;27009
8;2022-01;0.5833333333333333;27009
9;2023-01;0.5833333333333333;27009
10;2024-01;0.8333333333333333;27009
0;2014-01;1.0;13003
1;2015-01;1.0;13003
2;2016-01;1.0;13003
3;2017-01;1.0;13003
4;2018-01;1.0;13003
5;2019-01;0.75;13003
6;2020-01;1.0;13003
7;2021-01;1.0;13003
8;2022-01;1.0;13003
9;2023-01;1.0;13003
10;2024-01;1.0;13003
0;2014-01;0.8257575757575758;13001
1;2015-01;0.8838383838383838;13001
2;2016-01;0.8704545454545455;13001
3;2017-01;0.8581818181818182;13001
4;2018-01;0.8866666666666667;13001
5;2019-01;0.7866666666666667;13001
6;2020-01;0.831111111111111;13001
7;2021-01;0.8139682539682539;13001
8;2022-01;0.8606349206349206;13001
9;2023-01;0.793968253968254;13001
10;2024-01;0.6894444444444444;13001
0;2014-01;1.0;23004
1;2015-01;0.75;23004
2;2016-01;1.0;23004
3;2017-01;0.625;23004
4;2018-01;0.5;23004
5;2019-01;0.5833333333333333;23004
6;2020-01;0.611111111111111;23004
7;2021-01;0.6666666666666666;23004
8;2022-01;0.6666666666666666;23004
9;2023-01;0.7777777777777777;23004
10;2024-01;0.6666666666666666;23004
0;2014-01;0.4642857142857143;23002
1;2015-01;0.5535714285714285;23002
2;2016-01;0.6026785714285714;23002
3;2017-01;0.4732142857142857;23002
4;2018-01;0.3958333333333333;23002
5;2019-01;0.49583333333333335;23002
6;2020-01;0.525;23002
7;2021-01;0.6388888888888888;23002
8;2022-01;0.4576190476190476;23002
9;2023-01;0.559047619047619;23002
10;2024-01;0.5738095238095238;23002
0;2014-01;0.8479768786127169;23001
1;2015-01;0.877456647398844;23001
2;2016-01;0.7575505780346821;23001
3;2017-01;0.7212086179716237;23001
4;2018-01;0.7721212121212122;23001
5;2019-01;0.7772727272727272;23001
6;2020-01;0.7281385281385282;23001
7;2021-01;0.7584415584415585;23001
8;2022-01;0.7764069264069263;23001
9;2023-01;0.8264069264069264;23001
10;2024-01;0.8345238095238094;23001
0;2014-01;0.6666666666666666;23013
1;2015-01;0.8333333333333334;23013
2;2016-01;0.9166666666666667;23013
3;2017-01;0.8333333333333333;23013
4;2018-01;0.6666666666666666;23013
5;2019-01;0.8333333333333333;23013
6;2020-01;0.75;23013
7;2021-01;0.8333333333333334;23013
8;2022-01;1.0;23013
9;2023-01;1.0;23013
10;2024-01;0.8333333333333334;23013
0;2014-01;0.8888888888888888;23021
1;2015-01;0.8148148148148149;23021
2;2016-01;0.8333333333333333;23021
3;2017-01;0.6777777777777778;23021
4;2018-01;0.7666666666666667;23021
5;2019-01;0.7666666666666667;23021
6;2020-01;0.7333333333333333;23021
7;2021-01;0.6333333333333333;23021
8;2022-01;0.6599999999999999;23021
9;2023-01;0.8309523809523809;23021
10;2024-01;0.7247619047619047;23021
0;2014-01;0.375;23009
1;2015-01;0.5833333333333334;23009
2;2016-01;0.5833333333333334;23009
3;2017-01;0.5833333333333334;23009
4;2018-01;0.4166666666666667;23009
5;2019-01;0.5625;23009
6;2020-01;0.6666666666666666;23009
7;2021-01;0.5;23009
8;2022-01;0.6666666666666666;23009
9;2023-01;0.6666666666666666;23009
10;2024-01;0.75;23009
0;2014-01;0.5;23022
1;2015-01;0.4375;23022
2;2016-01;0.35416666666666663;23022
3;2017-01;0.34722222222222215;23022
4;2018-01;0.3333333333333333;23022
5;2019-01;0.27777777777777773;23022
6;2020-01;0.6666666666666666;23022
7;2021-01;0.3333333333333333;23022
8;2022-01;0.6666666666666666;23022
9;2023-01;0.7777777777777778;23022
10;2024-01;0.5333333333333333;23022
0;2014-01;0.9166666666666667;23011
1;2015-01;0.9259259259259259;23011
2;2016-01;0.7592592592592592;23011
3;2017-01;0.7698412698412698;23011
4;2018-01;0.7492063492063492;23011
5;2019-01;0.6785714285714286;23011
6;2020-01;0.7678571428571428;23011
7;2021-01;0.8928571428571428;23011
8;2022-01;0.875;23011
9;2023-01;0.8125;23011
10;2024-01;0.8099999999999999;23011
0;2014-01;0.8962516733601071;32002
1;2015-01;0.8421622999936252;32002
2;2016-01;0.8369430101357812;32002
3;2017-01;0.7956014534327787;32002
4;2018-01;0.7895238095238095;32002
5;2019-01;0.8217460317460317;32002
6;2020-01;0.7681045751633986;32002
7;2021-01;0.8038443256090314;32002
8;2022-01;0.7842707619178207;32002
9;2023-01;0.7821883998354586;32002
10;2024-01;0.7804789981260569;32002
0;2014-01;0.8666666666666667;32004
1;2015-01;0.8666666666666667;32004
2;2016-01;0.8777777777777778;32004
3;2017-01;0.8583333333333334;32004
4;2018-01;0.7866666666666667;32004
5;2019-01;0.8;32004
6;2020-01;0.8247619047619047;32004
7;2021-01;0.8083116883116883;32004
8;2022-01;0.5518614718614718;32004
9;2023-01;0.5717748917748918;32004
10;2024-01;0.5783549783549783;32004
0;2014-01;0.7564102564102564;32005
1;2015-01;0.8376068376068376;32005
2;2016-01;0.7256410256410257;32005
3;2017-01;0.6926007326007326;32005
4;2018-01;0.7535714285714286;32005
5;2019-01;0.7742857142857142;32005
6;2020-01;0.7123809523809523;32005
7;2021-01;0.7076190476190476;32005
8;2022-01;0.7783333333333333;32005
9;2023-01;0.765;32005
10;2024-01;0.7466666666666667;32005
0;2014-01;0.6666666666666666;21011
1;2015-01;0.6666666666666666;21011
2;2016-01;0.6666666666666666;21011
3;2017-01;0.3333333333333333;21011
4;2018-01;0.3333333333333333;21011
5;2019-01;0.5833333333333333;21011
6;2020-01;0.6666666666666666;21011
7;2021-01;0.611111111111111;21011
8;2022-01;0.5555555555555555;21011
9;2023-01;0.5;21011
10;2024-01;0.5416666666666666;21011
0;2014-01;0.6;21007
1;2015-01;0.6;21007
2;2016-01;0.7333333333333334;21007
3;2017-01;0.7333333333333334;21007
4;2018-01;0.7333333333333334;21007
5;2019-01;0.5666666666666667;21007
6;2020-01;0.6666666666666666;21007
7;2021-01;0.6666666666666666;21007
8;2022-01;0.625;21007
9;2023-01;0.625;21007
10;2024-01;0.6;21007
0;2014-01;0.9571428571428571;21016
1;2015-01;0.8690476190476191;21016
2;2016-01;0.9017857142857143;21016
3;2017-01;0.9214285714285714;21016
4;2018-01;0.8666666666666666;21016
5;2019-01;0.8484848484848484;21016
6;2020-01;0.8469696969696969;21016
7;2021-01;0.8037878787878787;21016
8;2022-01;0.8871212121212121;21016
9;2023-01;0.811883116883117;21016
10;2024-01;0.8084126984126984;21016
0;2014-01;0.9028104575163398;31016
1;2015-01;0.8412200435729847;31016
2;2016-01;0.7453267973856209;31016
3;2017-01;0.7317970743853097;31016
4;2018-01;0.6891277441209042;31016
5;2019-01;0.7196054754402966;31016
6;2020-01;0.6939411002871784;31016
7;2021-01;0.6391679336298965;31016
8;2022-01;0.6542741708429529;31016
9;2023-01;0.7126225797589613;31016
10;2024-01;0.7005832498794555;31016
0;2014-01;0.9285714285714286;31001
1;2015-01;0.9285714285714286;31001
2;2016-01;0.7619047619047619;31001
3;2017-01;0.7380952380952381;31001
4;2018-01;0.7380952380952381;31001
5;2019-01;0.7857142857142857;31001
6;2020-01;0.825;31001
7;2021-01;0.95;31001
8;2022-01;0.9333333333333332;31001
9;2023-01;0.8222222222222223;31001
10;2024-01;0.96;31001
0;2014-01;1.0;31094
1;2015-01;0.9;31094
2;2016-01;0.8;31094
3;2017-01;0.7999999999999999;31094
4;2018-01;0.7999999999999999;31094
5;2019-01;0.5666666666666667;31094
6;2020-01;0.75;31094
7;2021-01;0.75;31094
8;2022-01;0.75;31094
9;2023-01;0.75;31094
10;2024-01;0.75;31094
0;2014-01;0.75;31071
1;2015-01;0.75;31071
2;2016-01;0.8333333333333334;31071
3;2017-01;0.8333333333333334;31071
4;2018-01;0.875;31071
5;2019-01;0.8125;31071
6;2020-01;1.0;31071
7;2021-01;0.8333333333333334;31071
8;2022-01;0.75;31071
9;2023-01;0.75;31071
10;2024-01;0.8333333333333334;31071
0;2014-01;1.0;31037
1;2015-01;0.9722222222222222;31037
2;2016-01;0.9791666666666666;31037
3;2017-01;0.9166666666666666;31037
4;2018-01;0.8333333333333334;31037
5;2019-01;0.825;31037
6;2020-01;0.825;31037
7;2021-01;0.9166666666666666;31037
8;2022-01;0.95;31037
9;2023-01;0.9266666666666667;31037
10;2024-01;0.8916666666666666;31037
0;2014-01;0.9444444444444444;31031
1;2015-01;0.8888888888888888;31031
2;2016-01;0.9166666666666666;31031
3;2017-01;0.8888888888888888;31031
4;2018-01;0.6666666666666666;31031
5;2019-01;0.6666666666666666;31031
6;2020-01;0.6666666666666666;31031
7;2021-01;0.75;31031
8;2022-01;0.6666666666666666;31031
9;2023-01;0.6333333333333333;31031
10;2024-01;0.611111111111111;31031
0;2014-01;0.9444444444444444;31004
1;2015-01;0.7777777777777778;31004
2;2016-01;0.6851851851851851;31004
3;2017-01;0.6481481481481481;31004
4;2018-01;0.6481481481481481;31004
5;2019-01;0.7361111111111112;31004
6;2020-01;0.7361111111111112;31004
7;2021-01;0.788888888888889;31004
8;2022-01;0.788888888888889;31004
9;2023-01;0.888888888888889;31004
10;2024-01;0.7666666666666667;31004
0;2014-01;1.0;31059
1;2015-01;0.9285714285714286;31059
2;2016-01;0.9523809523809524;31059
3;2017-01;0.8035714285714286;31059
4;2018-01;0.8428571428571429;31059
5;2019-01;0.9;31059
6;2020-01;1.0;31059
7;2021-01;0.7916666666666666;31059
8;2022-01;0.7222222222222222;31059
9;2023-01;0.7222222222222222;31059
10;2024-01;0.875;31059
0;2014-01;0.6;31009
1;2015-01;0.7333333333333334;31009
2;2016-01;0.7333333333333334;31009
3;2017-01;0.85;31009
4;2018-01;1.0;31009
5;2019-01;1.0;31009
6;2020-01;0.9375;31009
7;2021-01;0.75;31009
8;2022-01;0.875;31009
9;2023-01;0.6916666666666667;31009
10;2024-01;0.6533333333333333;31009
0;2014-01;0.8333333333333333;31003
1;2015-01;0.8888888888888888;31003
2;2016-01;0.8541666666666666;31003
3;2017-01;0.8541666666666666;31003
4;2018-01;0.7916666666666666;31003
5;2019-01;0.8333333333333334;31003
6;2020-01;0.9;31003
7;2021-01;0.9;31003
8;2022-01;0.9;31003
9;2023-01;1.0;31003
10;2024-01;1.0;31003
0;2014-01;1.0;31057
1;2015-01;0.9444444444444445;31057
2;2016-01;0.875;31057
3;2017-01;0.9;31057
4;2018-01;0.6666666666666666;31057
5;2019-01;0.7333333333333333;31057
6;2020-01;0.6;31057
7;2021-01;0.7333333333333333;31057
8;2022-01;0.7666666666666667;31057
9;2023-01;0.7666666666666667;31057
10;2024-01;0.8666666666666666;31057
0;2014-01;0.9166666666666667;31006
1;2015-01;0.9444444444444445;31006
2;2016-01;0.8333333333333334;31006
3;2017-01;0.9166666666666666;31006
4;2018-01;0.9375;31006
5;2019-01;1.0;31006
6;2020-01;1.0;31006
7;2021-01;0.9166666666666666;31006
8;2022-01;0.7916666666666666;31006
9;2023-01;0.6666666666666666;31006
10;2024-01;0.7333333333333333;31006
0;2014-01;0.875;31092
1;2015-01;0.9166666666666666;31092
2;2016-01;0.875;31092
3;2017-01;0.7125;31092
4;2018-01;0.8083333333333332;31092
5;2019-01;0.8083333333333332;31092
6;2020-01;0.8;31092
7;2021-01;1.0;31092
8;2022-01;0.8055555555555555;31092
9;2023-01;0.8125;31092
10;2024-01;0.5833333333333333;31092
0;2014-01;0.7647058823529411;31024
1;2015-01;0.723529411764706;31024
2;2016-01;0.6686274509803921;31024
3;2017-01;0.711764705882353;31024
