;0;12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;cod_regsaud
2012-01;8.0;8.0;8.0;5.0;5.0;5.0;5.0;5.0;6.0;6.0;6.0;6.0;5.0;;;;12002
2014-01;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;;;;;;12002
2017-01;2.0;2.0;1.0;;1.0;1.0;1.0;1.0;;;;;;;;;12002
2019-01;1.0;;;1.0;1.0;1.0;;;;;;;;;;;12002
2020-01;2.0;2.0;2.0;2.0;1.0;;;;;;;;;;;;12002
2021-01;2.0;1.0;1.0;1.0;;;;;;;;;;;;;12002
2022-01;3.0;2.0;1.0;;;;;;;;;;;;;;12002
2023-01;2.0;2.0;;;;;;;;;;;;;;;12002
2024-01;4.0;;;;;;;;;;;;;;;;12002
2012-01;23.0;20.0;17.0;15.0;14.0;13.0;10.0;9.0;10.0;10.0;10.0;8.0;7.0;;;;27007
2013-01;1.0;1.0;;;;;;;;;;;;;;;27007
2014-01;1.0;1.0;1.0;;;;;;;;;;;;;;27007
2015-01;3.0;3.0;3.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;;;;;;;27007
2016-01;2.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;27007
2017-01;5.0;5.0;3.0;3.0;2.0;2.0;2.0;2.0;;;;;;;;;27007
2018-01;2.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;27007
2019-01;6.0;5.0;5.0;2.0;2.0;2.0;;;;;;;;;;;27007
2020-01;2.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;27007
2021-01;2.0;1.0;1.0;1.0;;;;;;;;;;;;;27007
2022-01;7.0;4.0;3.0;;;;;;;;;;;;;;27007
2023-01;5.0;5.0;;;;;;;;;;;;;;;27007
2024-01;4.0;;;;;;;;;;;;;;;;27007
2012-01;67.0;61.0;59.0;57.0;53.0;53.0;49.0;43.0;41.0;42.0;42.0;41.0;42.0;;;;27001
2013-01;5.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;27001
