;ano;retention;regiao_saude
0;2014-01;0.923076923076923;13001
1;2015-01;0.7548076923076923;13001
2;2016-01;0.8;13001
3;2017-01;0.72;13001
4;2018-01;0.775;13001
5;2019-01;0.77;13001
6;2020-01;0.9199999999999999;13001
7;2021-01;0.95;13001
8;2022-01;0.9;13001
9;2023-01;0.8300000000000001;13001
10;2024-01;0.74;13001
0;2016-01;;13002
1;2017-01;;13002
2;2018-01;;13002
3;2019-01;;13002
4;2020-01;;13002
5;2021-01;;13002
6;2022-01;;13002
7;2023-01;;13002
8;2024-01;;13002
0;2014-01;;13003
1;2015-01;;13003
2;2016-01;;13003
3;2017-01;;13003
4;2018-01;;13003
5;2019-01;;13003
6;2020-01;;13003
7;2021-01;;13003
8;2022-01;;13003
9;2023-01;;13003
10;2024-01;;13003
0;2023-01;1.0;13004
1;2024-01;1.0;13004
0;2023-01;1.0;13006
1;2024-01;1.0;13006
0;2014-01;;13005
1;2015-01;;13005
2;2016-01;;13005
3;2017-01;;13005
4;2018-01;;13005
5;2019-01;;13005
6;2020-01;;13005
7;2021-01;;13005
8;2022-01;;13005
9;2023-01;;13005
10;2024-01;1.0;13005
0;2022-01;;16002
1;2023-01;;16002
2;2024-01;;16002
0;2014-01;0.875;16003
1;2015-01;0.8125;16003
2;2016-01;0.625;16003
3;2017-01;0.625;16003
4;2018-01;0.625;16003
5;2019-01;0.75;16003
6;2020-01;0.8125;16003
7;2021-01;1.0;16003
8;2022-01;1.0;16003
9;2023-01;1.0;16003
10;2024-01;0.9375;16003
0;2014-01;0.6988095238095238;16001
1;2015-01;0.7019047619047619;16001
2;2016-01;0.7023809523809523;16001
3;2017-01;0.7619047619047619;16001
4;2018-01;0.7619047619047619;16001
5;2019-01;0.6746031746031745;16001
6;2020-01;0.8055555555555556;16001
7;2021-01;0.8055555555555556;16001
8;2022-01;0.861111111111111;16001
9;2023-01;0.8111111111111111;16001
10;2024-01;0.8777777777777779;16001
0;2014-01;0.3333333333333333;29003
1;2015-01;0.6666666666666666;29003
2;2016-01;0.6666666666666666;29003
3;2017-01;0.6666666666666666;29003
4;2018-01;0.6666666666666666;29003
5;2019-01;1.0;29003
6;2020-01;1.0;29003
7;2021-01;1.0;29003
8;2022-01;;29003
9;2023-01;;29003
10;2024-01;;29003
0;2014-01;0.9;29001
1;2015-01;0.8666666666666667;29001
2;2016-01;0.8;29001
3;2017-01;0.8666666666666667;29001
4;2018-01;0.9199999999999999;29001
5;2019-01;1.0;29001
6;2020-01;1.0;29001
7;2021-01;0.9;29001
8;2022-01;0.9;29001
9;2023-01;1.0;29001
10;2024-01;1.0;29001
0;2014-01;0.8571428571428572;29026
1;2015-01;0.7142857142857143;29026
2;2016-01;0.9285714285714286;29026
3;2017-01;0.7380952380952381;29026
4;2018-01;0.7857142857142857;29026
5;2019-01;0.7142857142857143;29026
6;2020-01;1.0;29026
7;2021-01;0.75;29026
8;2022-01;0.75;29026
9;2023-01;0.6666666666666666;29026
10;2024-01;0.75;29026
0;2014-01;0.75;29022
1;2015-01;0.8333333333333334;29022
2;2016-01;1.0;29022
3;2017-01;0.75;29022
4;2018-01;0.75;29022
5;2019-01;0.75;29022
6;2020-01;1.0;29022
7;2021-01;1.0;29022
8;2022-01;1.0;29022
9;2023-01;1.0;29022
10;2024-01;1.0;29022
0;2014-01;0.7666666666666666;29006
1;2015-01;0.77;29006
2;2016-01;0.8125;29006
3;2017-01;0.6041666666666666;29006
4;2018-01;0.611111111111111;29006
5;2019-01;0.38888888888888884;29006
6;2020-01;0.5277777777777778;29006
7;2021-01;0.5416666666666666;29006
8;2022-01;0.6944444444444445;29006
9;2023-01;0.75;29006
10;2024-01;0.8333333333333334;29006
0;2014-01;1.0;29010
1;2015-01;;29010
2;2016-01;1.0;29010
3;2017-01;1.0;29010
4;2018-01;1.0;29010
5;2019-01;1.0;29010
6;2020-01;1.0;29010
7;2021-01;1.0;29010
8;2022-01;1.0;29010
9;2023-01;0.75;29010
10;2024-01;0.75;29010
0;2014-01;;29024
1;2015-01;1.0;29024
2;2016-01;1.0;29024
3;2017-01;1.0;29024
4;2018-01;1.0;29024
5;2019-01;1.0;29024
6;2020-01;1.0;29024
7;2021-01;1.0;29024
8;2022-01;1.0;29024
9;2023-01;1.0;29024
10;2024-01;1.0;29024
0;2014-01;0.5707070707070706;29025
1;2015-01;0.44696969696969696;29025
2;2016-01;0.75;29025
3;2017-01;0.75;29025
4;2018-01;0.6666666666666666;29025
5;2019-01;0.6666666666666666;29025
6;2020-01;0.75;29025
7;2021-01;0.75;29025
8;2022-01;0.6666666666666666;29025
9;2023-01;0.75;29025
10;2024-01;0.75;29025
0;2014-01;0.5;29008
1;2015-01;0.5;29008
2;2016-01;0.5;29008
3;2017-01;0.5;29008
4;2018-01;0.5;29008
5;2019-01;0.5;29008
6;2020-01;0.5;29008
7;2021-01;0.5;29008
8;2022-01;0.5;29008
9;2023-01;0.5;29008
10;2024-01;0.5;29008
0;2014-01;0.9333333333333332;29028
1;2015-01;0.7000000000000001;29028
2;2016-01;0.775;29028
3;2017-01;0.8333333333333334;29028
4;2018-01;0.8333333333333334;29028
5;2019-01;0.6666666666666666;29028
6;2020-01;0.75;29028
7;2021-01;0.8;29028
8;2022-01;0.875;29028
9;2023-01;0.875;29028
10;2024-01;0.875;29028
0;2014-01;1.0;29002
1;2015-01;1.0;29002
2;2016-01;1.0;29002
3;2017-01;1.0;29002
4;2018-01;0.875;29002
5;2019-01;0.9166666666666666;29002
6;2020-01;0.75;29002
7;2021-01;0.875;29002
8;2022-01;0.875;29002
9;2023-01;0.875;29002
10;2024-01;0.75;29002
0;2014-01;0.7142857142857143;29015
1;2015-01;0.8571428571428572;29015
2;2016-01;0.8571428571428572;29015
3;2017-01;0.7857142857142857;29015
4;2018-01;0.7857142857142857;29015
5;2019-01;0.7857142857142857;29015
6;2020-01;0.7857142857142857;29015
7;2021-01;0.7857142857142857;29015
8;2022-01;0.8571428571428571;29015
9;2023-01;0.8571428571428571;29015
10;2024-01;0.9142857142857143;29015
0;2014-01;0.5;29021
1;2015-01;0.5;29021
2;2016-01;;29021
3;2017-01;;29021
4;2018-01;;29021
5;2019-01;;29021
6;2020-01;0.75;29021
7;2021-01;0.75;29021
8;2022-01;0.75;29021
9;2023-01;0.75;29021
10;2024-01;0.5;29021
0;2014-01;0.5;29013
1;2015-01;0.5;29013
2;2016-01;0.75;29013
3;2017-01;0.75;29013
4;2018-01;0.75;29013
5;2019-01;0.8333333333333334;29013
6;2020-01;1.0;29013
7;2021-01;1.0;29013
8;2022-01;0.8333333333333334;29013
9;2023-01;1.0;29013
10;2024-01;1.0;29013
0;2014-01;0.75;29005
1;2015-01;0.6666666666666666;29005
2;2016-01;0.5;29005
3;2017-01;0.41666666666666663;29005
4;2018-01;0.3333333333333333;29005
5;2019-01;0.3333333333333333;29005
6;2020-01;0.3333333333333333;29005
7;2021-01;0.3333333333333333;29005
8;2022-01;0.3333333333333333;29005
9;2023-01;0.5;29005
10;2024-01;0.3333333333333333;29005
0;2014-01;1.0;29007
1;2015-01;1.0;29007
2;2016-01;1.0;29007
3;2017-01;1.0;29007
4;2018-01;1.0;29007
5;2019-01;1.0;29007
6;2020-01;1.0;29007
7;2021-01;1.0;29007
8;2022-01;1.0;29007
9;2023-01;1.0;29007
10;2024-01;1.0;29007
0;2014-01;0.5833333333333333;29012
1;2015-01;0.7222222222222222;29012
2;2016-01;0.5740740740740741;29012
3;2017-01;0.6111111111111112;29012
4;2018-01;0.4444444444444444;29012
5;2019-01;0.7222222222222222;29012
6;2020-01;0.7222222222222222;29012
7;2021-01;0.7777777777777778;29012
8;2022-01;0.7777777777777778;29012
9;2023-01;1.0;29012
10;2024-01;1.0;29012
0;2014-01;0.6282051282051282;29004
1;2015-01;0.6576923076923077;29004
2;2016-01;0.6384615384615384;29004
3;2017-01;0.85;29004
4;2018-01;0.95;29004
5;2019-01;0.8099999999999999;29004
6;2020-01;0.8099999999999999;29004
7;2021-01;0.6833333333333333;29004
8;2022-01;0.5666666666666667;29004
9;2023-01;0.41666666666666663;29004
10;2024-01;0.5;29004
0;2014-01;0.6632926119837115;29020
1;2015-01;0.7154624781849913;29020
2;2016-01;0.7248745519713261;29020
3;2017-01;0.7719713261648746;29020
4;2018-01;0.8206972955360052;29020
5;2019-01;0.8564679048550016;29020
6;2020-01;0.835204991087344;29020
7;2021-01;0.7801069518716577;29020
8;2022-01;0.7588948306595366;29020
9;2023-01;0.6766844919786097;29020
10;2024-01;0.6572905525846702;29020
0;2014-01;0.75;29016
1;2015-01;0.8333333333333334;29016
2;2016-01;0.8333333333333334;29016
3;2017-01;0.8333333333333334;29016
4;2018-01;0.7777777777777778;29016
5;2019-01;0.7777777777777778;29016
6;2020-01;0.7222222222222222;29016
7;2021-01;1.0;29016
8;2022-01;0.8888888888888888;29016
9;2023-01;0.8333333333333333;29016
10;2024-01;0.6666666666666666;29016
0;2014-01;0.3333333333333333;29017
1;2015-01;0.3333333333333333;29017
2;2016-01;0.3333333333333333;29017
3;2017-01;0.3333333333333333;29017
4;2018-01;0.6666666666666666;29017
5;2019-01;0.6666666666666666;29017
6;2020-01;0.8333333333333333;29017
7;2021-01;0.8333333333333333;29017
8;2022-01;0.8333333333333333;29017
9;2023-01;0.8333333333333333;29017
10;2024-01;0.8333333333333333;29017
0;2014-01;0.75;29019
1;2015-01;0.75;29019
2;2016-01;1.0;29019
3;2017-01;1.0;29019
4;2018-01;1.0;29019
5;2019-01;1.0;29019
6;2020-01;1.0;29019
7;2021-01;1.0;29019
8;2022-01;0.8333333333333334;29019
9;2023-01;0.8333333333333334;29019
10;2024-01;0.6666666666666666;29019
0;2014-01;1.0;29018
1;2015-01;0.6666666666666666;29018
2;2016-01;1.0;29018
3;2017-01;0.6666666666666666;29018
