;0;12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;cod_regsaud
2010-01;13.0;12.0;11.0;10.0;10.0;10.0;10.0;10.0;9.0;9.0;9.0;8.0;8.0;8.0;8.0;;13001
2011-01;1.0;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;13001
2012-01;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;13001
2013-01;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;13001
2014-01;4.0;3.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;13001
2015-01;5.0;5.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;;;;;;;13001
2016-01;1.0;1.0;1.0;1.0;1.0;;1.0;;;;;;;;;;13001
2017-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;13001
2018-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;13001
2019-01;1.0;1.0;1.0;;1.0;1.0;;;;;;;;;;;13001
2020-01;5.0;4.0;3.0;2.0;2.0;;;;;;;;;;;;13001
2021-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;13001
2022-01;4.0;3.0;2.0;;;;;;;;;;;;;;13001
2023-01;5.0;4.0;;;;;;;;;;;;;;;13001
2024-01;28.0;;;;;;;;;;;;;;;;13001
2024-01;1.0;;;;;;;;;;;;;;;;13009
2015-01;1.0;;;;;;;;;;;;;;;;13002
2024-01;1.0;;;;;;;;;;;;;;;;13002
2011-01;1.0;;;;;;;;;;;;;;;;13003
2022-01;2.0;2.0;2.0;;;;;;;;;;;;;;13004
2022-01;2.0;2.0;2.0;;;;;;;;;;;;;;13006
2010-01;1.0;;;;;;;;;;;;;;;;13005
2011-01;1.0;;;;;;;;;;;;;;;;13005
2012-01;1.0;1.0;;;;;;;;;;;;;;;13005
2023-01;1.0;1.0;;;;;;;;;;;;;;;13005
2021-01;1.0;;;;;;;;;;;;;;;;16002
2010-01;8.0;6.0;6.0;6.0;6.0;5.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;;16003
2012-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;16003
2014-01;1.0;;;;;;;;;;;;;;;;16003
2018-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;16003
2019-01;1.0;1.0;;;;;;;;;;;;;;;16003
2020-01;1.0;1.0;;;1.0;;;;;;;;;;;;16003
2021-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;16003
2022-01;1.0;1.0;1.0;;;;;;;;;;;;;;16003
2023-01;4.0;3.0;;;;;;;;;;;;;;;16003
2010-01;20.0;20.0;16.0;17.0;14.0;14.0;13.0;13.0;12.0;10.0;10.0;10.0;12.0;13.0;14.0;;16001
2011-01;1.0;1.0;1.0;1.0;1.0;;;;;;;;;1.0;;;16001
2012-01;7.0;6.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;;;;16001
2013-01;3.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;;;;;16001
2014-01;9.0;9.0;9.0;9.0;9.0;8.0;8.0;8.0;8.0;8.0;8.0;;;;;;16001
2015-01;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;2.0;2.0;;;;;;;16001
2016-01;1.0;1.0;1.0;;;;1.0;1.0;1.0;;;;;;;;16001
2019-01;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;16001
2023-01;1.0;1.0;;;;;;;;;;;;;;;16001
2024-01;6.0;;;;;;;;;;;;;;;;16001
2010-01;3.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;29003
2014-01;1.0;1.0;;;1.0;1.0;1.0;1.0;;;;;;;;;29003
2015-01;1.0;1.0;;;;;;;;;;;;;;;29003
2016-01;1.0;1.0;;;;;;;;;;;;;;;29003
2010-01;5.0;4.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;1.0;1.0;1.0;;29001
2011-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;29001
2014-01;1.0;1.0;;;1.0;1.0;1.0;1.0;;;;;;;;;29001
2016-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;29001
2017-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;;29001
2018-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;;;29001
2019-01;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;29001
2020-01;2.0;1.0;1.0;;;;;;;;;;;;;;29001
2022-01;2.0;2.0;2.0;;;;;;;;;;;;;;29001
2024-01;2.0;;;;;;;;;;;;;;;;29001
2010-01;7.0;6.0;5.0;4.0;5.0;5.0;6.0;5.0;4.0;3.0;3.0;3.0;3.0;4.0;4.0;;29026
2011-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;29026
2015-01;2.0;2.0;1.0;;;;;;1.0;;;;;;;;29026
2016-01;1.0;1.0;;;;;;;;;;;;;;;29026
2017-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;29026
2019-01;4.0;4.0;2.0;2.0;2.0;2.0;;;;;;;;;;;29026
2024-01;2.0;;;;;;;;;;;;;;;;29026
2010-01;5.0;3.0;2.0;2.0;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;;29022
2011-01;2.0;2.0;2.0;1.0;1.0;;;;;;;;;;;;29022
2012-01;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;29022
2013-01;2.0;;;;;;;;;;;;;;;;29022
2014-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;29022
2016-01;1.0;;;;;;;;;;;;;;;;29022
2018-01;1.0;;;;;;;;;;;;;;;;29022
2019-01;1.0;;;;;;;;;;;;;;;;29022
2022-01;1.0;1.0;1.0;;;;;;;;;;;;;;29022
2023-01;1.0;1.0;;;;;;;;;;;;;;;29022
2024-01;1.0;;;;;;;;;;;;;;;;29022
2010-01;20.0;16.0;14.0;15.0;13.0;12.0;11.0;11.0;12.0;11.0;11.0;9.0;8.0;8.0;6.0;;29006
2011-01;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;;;29006
2012-01;4.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;;;;29006
2013-01;6.0;4.0;3.0;3.0;3.0;4.0;2.0;2.0;2.0;2.0;2.0;1.0;;;;;29006
2014-01;4.0;4.0;4.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;;;;;;29006
2015-01;1.0;;;;;;;;;;;;;;;;29006
2016-01;3.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;29006
2017-01;1.0;;;;;;;;;;;;;;;;29006
2019-01;4.0;3.0;3.0;3.0;2.0;2.0;;;;;;;;;;;29006
2020-01;1.0;;;;;;;;;;;;;;;;29006
2021-01;1.0;1.0;;;;;;;;;;;;;;;29006
2022-01;1.0;1.0;1.0;;;;;;;;;;;;;;29006
2023-01;2.0;2.0;;;;;;;;;;;;;;;29006
2024-01;3.0;;;;;;;;;;;;;;;;29006
2010-01;1.0;1.0;1.0;;;;;;;;;;;;;;29010
2013-01;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;29010
2014-01;1.0;;;;;;;;;;;;;;;;29010
2021-01;2.0;2.0;1.0;1.0;;;;;;;;;;;;;29010
2010-01;1.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;29024
2023-01;1.0;1.0;;;;;;;;;;;;;;;29024
2024-01;1.0;;;;;;;;;;;;;;;;29024
2010-01;11.0;9.0;6.0;6.0;6.0;5.0;5.0;4.0;5.0;4.0;4.0;4.0;3.0;3.0;3.0;;29025
2011-01;3.0;3.0;2.0;2.0;1.0;;;;;;;;;;;;29025
2012-01;2.0;2.0;1.0;1.0;1.0;1.0;;;;;;;;;;;29025
2013-01;1.0;;;;;;;;;;;;;;;;29025
2014-01;2.0;1.0;;;1.0;1.0;1.0;1.0;1.0;;;;;;;;29025
2015-01;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;29025
2017-01;1.0;1.0;;;;;;;;;;;;;;;29025
2018-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;29025
2019-01;1.0;1.0;1.0;;;;;;;;;;;;;;29025
2010-01;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;29008
2010-01;10.0;10.0;9.0;10.0;8.0;6.0;6.0;6.0;7.0;7.0;7.0;7.0;7.0;5.0;5.0;;29028
2011-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;29028
2013-01;1.0;1.0;;;;;;;;;;;;;;;29028
2014-01;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;29028
2015-01;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;;29028
2016-01;1.0;;;;1.0;1.0;;;;;;;;;;;29028
2018-01;2.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;29028
2020-01;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;29028
2021-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;29028
2023-01;1.0;1.0;;;;;;;;;;;;;;;29028
2010-01;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;;29002
2011-01;2.0;;;;;;;;;;;;;;;;29002
2012-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;29002
2013-01;1.0;1.0;1.0;;;;;;;;;;;;;;29002
2018-01;2.0;2.0;1.0;;;;;;;;;;;;;;29002
2024-01;1.0;;;;;;;;;;;;;;;;29002
2010-01;7.0;7.0;7.0;7.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;29015
2014-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;29015
2020-01;1.0;;;;1.0;;;;;;;;;;;;29015
2021-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;29015
2023-01;2.0;2.0;;;;;;;;;;;;;;;29015
2010-01;2.0;2.0;2.0;2.0;1.0;1.0;;;;;1.0;1.0;1.0;1.0;1.0;;29021
2019-01;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;29021
2010-01;5.0;3.0;2.0;1.0;;;;;;;;;;;;;29013
2011-01;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;29013
2014-01;1.0;;;;;;;;;;;;;;;;29013
2015-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;29013
2018-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;29013
2020-01;2.0;2.0;1.0;;;;;;;;;;;;;;29013
2010-01;6.0;5.0;4.0;4.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;;29005
2011-01;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;29005
2014-01;2.0;1.0;1.0;1.0;;;;;;;;;;;;;29005
2024-01;1.0;;;;;;;;;;;;;;;;29005
2010-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;29007
2012-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;29007
2013-01;1.0;1.0;1.0;;;;;;;;;;;;;;29007
2015-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;29007
2016-01;2.0;2.0;2.0;;;;;;;;;;;;;;29007
2020-01;2.0;2.0;2.0;2.0;;;;;;;;;;;;;29007
2021-01;2.0;2.0;2.0;2.0;;;;;;;;;;;;;29007
2024-01;1.0;;;;;;;;;;;;;;;;29007
2010-01;9.0;8.0;8.0;7.0;6.0;6.0;5.0;5.0;4.0;4.0;4.0;3.0;3.0;3.0;2.0;;29012
2011-01;2.0;2.0;1.0;1.0;1.0;1.0;;;;;;;;;;;29012
2014-01;3.0;3.0;2.0;2.0;;;;;;;;;;;;;29012
2018-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;;;29012
2020-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;29012
2022-01;1.0;1.0;;;;;;;;;;;;;;;29012
2024-01;1.0;;;;;;;;;;;;;;;;29012
2010-01;13.0;10.0;7.0;7.0;5.0;3.0;2.0;3.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;;29004
2011-01;10.0;9.0;8.0;5.0;6.0;6.0;6.0;5.0;4.0;4.0;3.0;2.0;2.0;2.0;;;29004
2012-01;1.0;1.0;1.0;1.0;;;;1.0;1.0;;;;;;;;29004
2014-01;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0;;;;;;29004
2015-01;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;4.0;4.0;;;;;;;29004
2016-01;4.0;4.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;29004
2017-01;4.0;4.0;3.0;3.0;3.0;1.0;1.0;1.0;;;;;;;;;29004
