;ano;retention;regiao_saude
0;2014-01;0.6333333333333333;27005
1;2015-01;0.7252525252525253;27005
2;2016-01;0.5753787878787879;27005
3;2017-01;0.522979797979798;27005
4;2018-01;0.509469696969697;27005
5;2019-01;0.4774170274170274;27005
6;2020-01;0.6196428571428572;27005
7;2021-01;0.7000000000000001;27005
8;2022-01;0.6857142857142857;27005
9;2023-01;0.6857142857142857;27005
10;2024-01;0.8375;27005
0;2014-01;0.54375;27007
1;2015-01;0.5277777777777778;27007
2;2016-01;0.4766666666666667;27007
3;2017-01;0.46277777777777784;27007
4;2018-01;0.5514285714285714;27007
5;2019-01;0.5761904761904761;27007
6;2020-01;0.5071428571428571;27007
7;2021-01;0.5083333333333333;27007
8;2022-01;0.5333333333333333;27007
9;2023-01;0.5761904761904761;27007
10;2024-01;0.5857142857142857;27007
0;2014-01;1.0;27004
1;2015-01;0.6222222222222222;27004
2;2016-01;1.0;27004
3;2017-01;1.0;27004
4;2018-01;0.75;27004
5;2019-01;0.8333333333333334;27004
6;2020-01;0.6666666666666666;27004
7;2021-01;0.5;27004
8;2022-01;0.6666666666666666;27004
9;2023-01;0.75;27004
10;2024-01;0.6666666666666666;27004
0;2014-01;0.7702308802308802;27001
1;2015-01;0.7114372294372294;27001
2;2016-01;0.769336389101095;27001
3;2017-01;0.7678169934640523;27001
4;2018-01;0.7466816059757236;27001
5;2019-01;0.8257927170868348;27001
6;2020-01;0.7625188536953242;27001
7;2021-01;0.8267032967032968;27001
8;2022-01;0.7848717948717948;27001
9;2023-01;0.7758508158508158;27001
10;2024-01;0.7383648822441926;27001
0;2014-01;0.625;27003
1;2015-01;0.54;27003
2;2016-01;0.48;27003
3;2017-01;0.44000000000000006;27003
4;2018-01;0.4041666666666667;27003
5;2019-01;0.4083333333333333;27003
6;2020-01;0.5458333333333333;27003
7;2021-01;0.45666666666666667;27003
8;2022-01;0.675;27003
9;2023-01;0.65;27003
10;2024-01;0.63;27003
0;2014-01;0.7222222222222222;27006
1;2015-01;0.8055555555555555;27006
2;2016-01;0.611111111111111;27006
3;2017-01;0.5833333333333333;27006
4;2018-01;0.5833333333333334;27006
5;2019-01;0.5;27006
6;2020-01;0.4583333333333333;27006
7;2021-01;0.41666666666666663;27006
8;2022-01;0.4444444444444444;27006
9;2023-01;0.5833333333333334;27006
10;2024-01;0.47222222222222215;27006
0;2014-01;0.6666666666666666;27010
1;2015-01;0.7708333333333333;27010
2;2016-01;0.8055555555555555;27010
3;2017-01;0.7729166666666667;27010
4;2018-01;0.5854166666666667;27010
5;2019-01;0.4916666666666667;27010
6;2020-01;0.3833333333333333;27010
7;2021-01;0.325;27010
8;2022-01;0.3277777777777778;27010
9;2023-01;0.35555555555555557;27010
10;2024-01;0.4666666666666667;27010
0;2014-01;0.875;27008
1;2015-01;0.6666666666666666;27008
2;2016-01;0.6666666666666666;27008
3;2017-01;0.6875;27008
4;2018-01;0.875;27008
5;2019-01;0.75;27008
6;2020-01;1.0;27008
7;2021-01;1.0;27008
8;2022-01;0.5;27008
9;2023-01;0.5;27008
10;2024-01;0.75;27008
0;2014-01;;27002
1;2015-01;0.75;27002
2;2016-01;0.5;27002
3;2017-01;0.5833333333333333;27002
4;2018-01;0.5277777777777778;27002
5;2019-01;0.75;27002
6;2020-01;0.7222222222222222;27002
7;2021-01;0.7916666666666666;27002
8;2022-01;0.5416666666666666;27002
9;2023-01;0.7638888888888888;27002
10;2024-01;0.7916666666666666;27002
0;2014-01;1.0;27009
1;2015-01;0.6666666666666666;27009
2;2016-01;0.8333333333333333;27009
3;2017-01;0.8333333333333333;27009
4;2018-01;0.6333333333333333;27009
5;2019-01;0.5666666666666667;27009
6;2020-01;0.7333333333333333;27009
7;2021-01;0.7666666666666666;27009
8;2022-01;0.2888888888888889;27009
9;2023-01;0.5416666666666666;27009
10;2024-01;0.4444444444444444;27009
0;2014-01;0.5555555555555555;13008
1;2015-01;0.625;13008
2;2016-01;0.6666666666666667;13008
3;2017-01;0.47222222222222215;13008
4;2018-01;0.375;13008
5;2019-01;0.3611111111111111;13008
6;2020-01;0.29166666666666663;13008
7;2021-01;0.39444444444444443;13008
8;2022-01;0.48333333333333334;13008
9;2023-01;0.5357142857142857;13008
10;2024-01;0.4642857142857143;13008
0;2014-01;0.6904761904761904;13002
1;2015-01;0.7261904761904762;13002
2;2016-01;0.7309523809523809;13002
3;2017-01;0.7083333333333334;13002
4;2018-01;0.2708333333333333;13002
5;2019-01;0.4333333333333333;13002
6;2020-01;0.5625;13002
7;2021-01;0.6875;13002
8;2022-01;0.75;13002
9;2023-01;0.6799999999999999;13002
10;2024-01;0.6633333333333333;13002
0;2014-01;0.8888888888888888;13009
1;2015-01;0.8833333333333333;13009
2;2016-01;0.8266666666666665;13009
3;2017-01;0.7755555555555556;13009
4;2018-01;0.7736507936507937;13009
5;2019-01;0.8228571428571427;13009
6;2020-01;0.7828571428571428;13009
7;2021-01;0.6861904761904762;13009
8;2022-01;0.5057142857142857;13009
9;2023-01;0.5533333333333333;13009
10;2024-01;0.5700000000000001;13009
0;2014-01;0.8046408045977012;13001
1;2015-01;0.7960040567951319;13001
2;2016-01;0.8332063523474991;13001
3;2017-01;0.7566605997009047;13001
4;2018-01;0.6939600669141586;13001
5;2019-01;0.7528954294717339;13001
6;2020-01;0.741743317731149;13001
7;2021-01;0.7243950233856506;13001
8;2022-01;0.7258734872433502;13001
9;2023-01;0.6892992149156533;13001
10;2024-01;0.6915997442024839;13001
0;2014-01;0.8333333333333334;13003
1;2015-01;0.8666666666666666;13003
2;2016-01;0.7;13003
3;2017-01;0.6799999999999999;13003
4;2018-01;0.645;13003
5;2019-01;0.6199999999999999;13003
6;2020-01;0.5766666666666667;13003
7;2021-01;0.6766666666666666;13003
8;2022-01;0.475;13003
9;2023-01;0.5166666666666666;13003
10;2024-01;0.6833333333333333;13003
0;2014-01;1.0;13007
1;2015-01;0.6666666666666666;13007
2;2016-01;0.8333333333333334;13007
3;2017-01;0.875;13007
4;2018-01;0.875;13007
5;2019-01;0.85;13007
6;2020-01;0.75;13007
7;2021-01;0.75;13007
8;2022-01;0.75;13007
9;2023-01;0.6666666666666666;13007
10;2024-01;0.625;13007
