;ano;retention;regiao_saude
0;2014-01;0.8273206665311928;27010
1;2015-01;0.8053256124181422;27010
2;2016-01;0.6628021667070902;27010
3;2017-01;0.7151329937747595;27010
4;2018-01;0.6855218216318786;27010
5;2019-01;0.7675246227523267;27010
6;2020-01;0.7254411764705881;27010
7;2021-01;0.643089508530685;27010
8;2022-01;0.7020403615991851;27010
9;2023-01;0.7567918192918193;27010
10;2024-01;0.8270854145854146;27010
0;2014-01;0.7490697750672176;27007
1;2015-01;0.8023994125215449;27007
2;2016-01;0.7403126484735617;27007
3;2017-01;0.7379173106661354;27007
4;2018-01;0.7141339417863166;27007
5;2019-01;0.7536043925815364;27007
6;2020-01;0.7459402080978466;27007
7;2021-01;0.7290955845736734;27007
8;2022-01;0.7496615790873118;27007
9;2023-01;0.7644658655216752;27007
10;2024-01;0.7918803242597614;27007
0;2014-01;0.7596459096459096;27004
1;2015-01;0.7373237873237873;27004
2;2016-01;0.6798490398490399;27004
3;2017-01;0.6629817404817405;27004
4;2018-01;0.5327952602952604;27004
5;2019-01;0.5630303030303031;27004
6;2020-01;0.6808333333333334;27004
7;2021-01;0.5199509803921568;27004
8;2022-01;0.5489582336999841;27004
9;2023-01;0.5606174815141817;27004
10;2024-01;0.627937234931496;27004
0;2014-01;0.8517431886885267;27001
1;2015-01;0.7836668600095289;27001
2;2016-01;0.7763501065487108;27001
3;2017-01;0.7745288074064074;27001
4;2018-01;0.7914933303164691;27001
5;2019-01;0.81516938449302;27001
6;2020-01;0.8328724403453107;27001
7;2021-01;0.8604425563079496;27001
8;2022-01;0.817805991019268;27001
9;2023-01;0.8185401934582972;27001
10;2024-01;0.8017170870950772;27001
0;2014-01;0.8647998402715384;27005
1;2015-01;0.8646451033243487;27005
2;2016-01;0.803287991809273;27005
3;2017-01;0.8392147767400072;27005
4;2018-01;0.7822904782799474;27005
5;2019-01;0.7733526419463235;27005
6;2020-01;0.7854689883759651;27005
7;2021-01;0.7951095004286494;27005
8;2022-01;0.7616266286904585;27005
9;2023-01;0.7293208021293127;27005
10;2024-01;0.76051841932693;27005
0;2014-01;0.7368640661663918;27003
1;2015-01;0.6437581798046914;27003
2;2016-01;0.6727280256350024;27003
3;2017-01;0.6269389207205183;27003
4;2018-01;0.5171347788637981;27003
5;2019-01;0.6123130894870025;27003
6;2020-01;0.6537709006816559;27003
7;2021-01;0.7026578250207098;27003
8;2022-01;0.7201131041723055;27003
9;2023-01;0.7728552622791199;27003
10;2024-01;0.7794642735090804;27003
0;2014-01;0.7534290271132377;27009
1;2015-01;0.7964417312874663;27009
2;2016-01;0.7660003556079534;27009
3;2017-01;0.5949556264279715;27009
4;2018-01;0.6633178960681472;27009
5;2019-01;0.7009369698070168;27009
6;2020-01;0.728268438635396;27009
7;2021-01;0.7807781813290288;27009
8;2022-01;0.7706857366098261;27009
9;2023-01;0.7966133992224869;27009
10;2024-01;0.8215906008884734;27009
0;2014-01;0.7337081512153976;27006
1;2015-01;0.7054272499008855;27006
2;2016-01;0.684990088542355;27006
3;2017-01;0.7079612622961374;27006
4;2018-01;0.7327249177269768;27006
5;2019-01;0.722773092384623;27006
6;2020-01;0.7599291031549097;27006
7;2021-01;0.6976084918665564;27006
8;2022-01;0.719426523297491;27006
9;2023-01;0.7148635537879904;27006
10;2024-01;0.7514891736632788;27006
0;2014-01;0.7784943127048389;27008
1;2015-01;0.7526464810675337;27008
2;2016-01;0.7500929868067223;27008
3;2017-01;0.7416520782374441;27008
4;2018-01;0.7367042976799074;27008
5;2019-01;0.7513309435565534;27008
6;2020-01;0.7598054892262209;27008
7;2021-01;0.7613827838827839;27008
8;2022-01;0.7530573593073593;27008
9;2023-01;0.6683154345654346;27008
10;2024-01;0.6718892218892218;27008
0;2014-01;0.8076658476658476;27002
1;2015-01;0.8294083694083694;27002
2;2016-01;0.7976767676767678;27002
3;2017-01;0.6403607503607504;27002
4;2018-01;0.5496015096015097;27002
5;2019-01;0.6477042198993418;27002
6;2020-01;0.7122316527194575;27002
7;2021-01;0.7398302014155672;27002
8;2022-01;0.6749051154283255;27002
9;2023-01;0.7855181105574497;27002
10;2024-01;0.8158384924513957;27002
0;2014-01;0.6544586102938506;13008
1;2015-01;0.5555033678522023;13008
2;2016-01;0.5559305657905511;13008
3;2017-01;0.6328336635116296;13008
4;2018-01;0.6381982048083743;13008
5;2019-01;0.6791909130227088;13008
6;2020-01;0.7369427852972157;13008
7;2021-01;0.7132512283778106;13008
8;2022-01;0.7212295042041876;13008
9;2023-01;0.687448262005224;13008
10;2024-01;0.6660894660894661;13008
0;2014-01;0.8074149792705642;13009
1;2015-01;0.708544409891314;13009
2;2016-01;0.7657174452612102;13009
3;2017-01;0.8021528729498726;13009
4;2018-01;0.7135643712121167;13009
5;2019-01;0.7625890841616618;13009
6;2020-01;0.7272105989801895;13009
7;2021-01;0.76111598783849;13009
8;2022-01;0.7255572489917841;13009
9;2023-01;0.7234841025163605;13009
10;2024-01;0.7659690748190047;13009
0;2014-01;0.6766588966588967;13002
1;2015-01;0.7339160839160839;13002
2;2016-01;0.738981018981019;13002
3;2017-01;0.7351156889087924;13002
4;2018-01;0.6156972682489924;13002
5;2019-01;0.6751505505988264;13002
6;2020-01;0.7487702297702297;13002
7;2021-01;0.8092880543533901;13002
8;2022-01;0.7707053531264058;13002
9;2023-01;0.8199150960429156;13002
10;2024-01;0.8042989417989418;13002
0;2014-01;0.8148534692565551;13003
1;2015-01;0.825193899782135;13003
2;2016-01;0.7426355431061313;13003
3;2017-01;0.6602202416320063;13003
4;2018-01;0.5855446775446775;13003
5;2019-01;0.6566757104462022;13003
6;2020-01;0.6687827458319262;13003
7;2021-01;0.734509426312705;13003
8;2022-01;0.7725752233948955;13003
9;2023-01;0.7285752677250315;13003
10;2024-01;0.686560980798269;13003
0;2014-01;0.812700607324827;13001
1;2015-01;0.8200592894928838;13001
2;2016-01;0.8072016432699911;13001
3;2017-01;0.7312397135217312;13001
4;2018-01;0.6920095503562176;13001
5;2019-01;0.7194313672397605;13001
6;2020-01;0.7141498629804411;13001
7;2021-01;0.7285125561306118;13001
8;2022-01;0.7782158486547178;13001
9;2023-01;0.748054828414338;13001
10;2024-01;0.780113432874942;13001
0;2014-01;0.8730877616747182;13005
1;2015-01;0.8079543118511665;13005
2;2016-01;0.7603132387706856;13005
3;2017-01;0.736903073286052;13005
4;2018-01;0.5987943262411347;13005
5;2019-01;0.6854480980012895;13005
6;2020-01;0.7560353535353534;13005
7;2021-01;0.8510265700483093;13005
8;2022-01;0.837559771957079;13005
9;2023-01;0.8075802674910626;13005
10;2024-01;0.772451150666098;13005
0;2014-01;0.8922340425531914;13007
1;2015-01;0.7354901960784315;13007
2;2016-01;0.774656862745098;13007
3;2017-01;0.6817491087344029;13007
4;2018-01;0.6786233129615482;13007
5;2019-01;0.7762164502164502;13007
6;2020-01;0.8193567193675889;13007
7;2021-01;0.8065567476002258;13007
8;2022-01;0.8785929158972637;13007
9;2023-01;0.8658425381903643;13007
10;2024-01;0.7909009009009009;13007
0;2014-01;0.6575696870763885;13004
1;2015-01;0.6717172465803298;13004
2;2016-01;0.7003952774743849;13004
3;2017-01;0.6504840663055673;13004
